rep,id,p0,alpha,tau
9,20,0.266866,0.035054,63.641432
10,20,0.266866,0.035054,63.585045
1,21,0.266866,0.038937,65.655718
2,21,0.266866,0.037962,65.657070
3,21,0.266866,0.037665,65.657070
4,21,0.266866,0.037665,65.694405
5,21,0.266866,0.038061,65.586623
6,21,0.266866,0.038061,65.586623
7,21,0.266866,0.036863,65.625469
8,21,0.266866,0.035807,65.514692
9,21,0.266866,0.035807,65.565784
10,21,0.266866,0.035807,65.565784
1,22,0.266866,0.013625,78.612707
2,22,0.266866,0.012749,78.339081
3,22,0.266866,0.012337,78.486545
4,22,0.266866,0.012513,77.410022
5,22,0.266866,0.012191,78.387581
6,22,0.266866,0.012088,78.687535
7,22,0.266866,0.012744,78.059768
8,22,0.266866,0.013488,78.284665
9,22,0.266866,0.012854,78.232311
10,22,0.266866,0.014404,77.242297
1,23,0.266866,0.027033,68.163880
2,23,0.266866,0.026325,67.810419
3,23,0.266866,0.026258,67.848327
4,23,0.266866,0.026258,67.848327
5,23,0.266866,0.025803,67.689982
6,23,0.266866,0.025343,67.689982
7,23,0.266866,0.025319,67.802741
8,23,0.266866,0.025319,67.802741
9,23,0.266866,0.027087,68.325027
10,23,0.266866,0.027369,67.988196
1,24,0.264033,0.011419,77.436807
2,24,0.264033,0.011606,76.852250
3,24,0.264033,0.010780,77.884995
4,24,0.264033,0.010498,78.021390
5,24,0.264033,0.010968,76.907159
6,24,0.264033,0.010525,76.682805
7,24,0.264033,0.011013,77.524530
8,24,0.264033,0.010186,77.528033
9,24,0.264033,0.010614,77.818223
10,24,0.264033,0.009408,78.415209
1,25,0.266866,0.030656,73.770796
2,25,0.266866,0.027151,74.205294
3,25,0.266866,0.026898,74.307805
4,25,0.266866,0.027646,73.865927
5,25,0.266866,0.028350,74.285618
6,25,0.266866,0.029263,73.701387
7,25,0.266866,0.029263,74.209985
8,25,0.266866,0.027184,73.925802
9,25,0.266866,0.027184,73.925802
10,25,0.266866,0.027184,73.925802
1,26,0.266866,0.074229,74.405045
2,26,0.266866,0.071467,74.405045
3,26,0.266866,0.068841,74.485745
4,26,0.266866,0.061375,74.521591
5,26,0.266866,0.068121,74.280469
6,26,0.266866,0.072435,74.417145
7,26,0.266866,0.072435,74.321129
8,26,0.266866,0.074281,74.375426
9,26,0.266866,0.071918,74.375426
10,26,0.266866,0.070240,74.375426
1,27,0.266866,0.026234,67.895842
2,27,0.266866,0.025828,67.613550
3,27,0.266866,0.027181,67.621459
4,27,0.266866,0.024569,67.226981
5,27,0.266866,0.025941,67.816384
6,27,0.266866,0.025524,67.379456
7,27,0.266866,0.025524,67.379456
8,27,0.266866,0.025494,67.455558
9,27,0.266866,0.025459,67.455558
10,27,0.266866,0.025459,67.507367
1,28,0.266866,0.046848,71.600821
2,28,0.266866,0.046848,71.600821
3,28,0.266866,0.045330,71.341744
4,28,0.266866,0.045147,71.213931
5,28,0.266866,0.045147,71.213931
6,28,0.266866,0.045338,71.213931
7,28,0.266866,0.044754,71.210737
8,28,0.266866,0.045225,71.131301
9,28,0.266866,0.046004,71.513304
10,28,0.266866,0.046004,71.513304
1,29,0.265360,0.064304,77.766537
2,29,0.265360,0.064304,77.766537
3,29,0.265360,0.064028,77.804584
4,29,0.265360,0.064028,77.804584
5,29,0.265360,0.064028,77.804584
6,29,0.265360,0.064028,77.804584
7,29,0.265360,0.064028,77.804584
8,29,0.265360,0.064028,77.804584
9,29,0.265360,0.064028,77.785458
10,29,0.265360,0.064028,77.785458
1,30,0.267089,0.022937,66.783690
2,30,0.267089,0.022937,66.783690
3,30,0.267089,0.023103,66.815707
4,30,0.267089,0.023103,66.913145
5,30,0.267089,0.023103,66.837583
6,30,0.267089,0.023103,66.837583
7,30,0.267089,0.023103,66.837583
8,30,0.267089,0.023734,67.343345
9,30,0.267089,0.023993,67.242670
10,30,0.267089,0.023993,67.107310
1,31,0.269510,0.056105,63.884878
2,31,0.269510,0.061210,64.015186
3,31,0.269510,0.057369,64.015186
4,31,0.269510,0.060051,63.953364
5,31,0.269510,0.060051,63.953364
6,31,0.269510,0.055152,63.798216
7,31,0.269510,0.055994,63.798216
8,31,0.269510,0.055994,63.743027
9,31,0.269510,0.058464,63.849075
10,31,0.269510,0.057489,63.727522
1,32,0.266866,0.050980,71.775035
2,32,0.266866,0.049711,71.775035
3,32,0.266866,0.049711,71.775035
4,32,0.266866,0.048670,71.479053
5,32,0.266866,0.050174,71.685594
6,32,0.266866,0.050174,71.722171
7,32,0.266866,0.048851,71.941406
8,32,0.266866,0.052014,71.941406
9,32,0.266866,0.049987,71.674097
10,32,0.266866,0.049987,71.723779
1,33,0.266866,0.027048,71.901426
2,33,0.266866,0.029887,71.901426
3,33,0.266866,0.032913,72.141471
4,33,0.266866,0.032996,71.724333
5,33,0.266866,0.029745,71.724333
6,33,0.266866,0.032646,71.730942
7,33,0.266866,0.031640,71.730942
8,33,0.266866,0.027224,72.383911
9,33,0.266866,0.027224,72.342249
10,33,0.266866,0.026451,72.469816
1,34,0.264625,0.039914,65.968373
2,34,0.264625,0.039914,65.868075
3,34,0.264625,0.039914,65.868075
4,34,0.264625,0.039914,65.868075
5,34,0.264625,0.039914,65.868075
6,34,0.264625,0.039914,65.868075
7,34,0.264625,0.040750,65.868075
8,34,0.264625,0.040750,65.904341
9,34,0.264625,0.039596,65.733384
10,34,0.264625,0.040626,65.942105
1,35,0.266866,0.040924,72.746776
2,35,0.266866,0.039111,72.820136
3,35,0.266866,0.039092,72.582538
4,35,0.266866,0.039092,72.692823
5,35,0.266866,0.039092,72.692823
6,35,0.266866,0.039092,72.692823
7,35,0.266866,0.038128,72.775793
8,35,0.266866,0.040910,72.772493
9,35,0.266866,0.040910,72.578518
10,35,0.266866,0.039131,72.627486
1,36,0.266866,0.035913,67.480211
2,36,0.266866,0.034014,67.595693
3,36,0.266866,0.033342,67.201623
4,36,0.266866,0.033591,67.201623
5,36,0.266866,0.033591,67.372917
6,36,0.266866,0.033591,67.372917
7,36,0.266866,0.033336,67.355476
8,36,0.266866,0.031461,67.191952
9,36,0.266866,0.035681,67.191952
10,36,0.266866,0.033440,67.107118
1,37,0.266866,0.026349,63.379602
2,37,0.266866,0.026349,63.385698
3,37,0.266866,0.026205,63.385698
4,37,0.266866,0.025703,63.168395
5,37,0.266866,0.024481,62.991319
6,37,0.266866,0.024481,62.610924
7,37,0.266866,0.024418,62.610924
8,37,0.266866,0.024003,62.676580
9,37,0.266866,0.023732,62.467853
10,37,0.266866,0.023732,62.467853
1,38,0.266866,0.064833,66.445613
2,38,0.266866,0.064833,66.445613
3,38,0.266866,0.067300,67.128205
4,38,0.266866,0.068207,66.995087
5,38,0.266866,0.069406,67.124518
6,38,0.266866,0.066267,66.546834
7,38,0.266866,0.064549,66.752538
8,38,0.266866,0.064549,66.778958
9,38,0.266866,0.063705,66.403707
10,38,0.266866,0.066495,66.960639
1,39,0.266866,0.031274,71.866811
2,39,0.266866,0.032593,71.927416
3,39,0.266866,0.031913,71.802047
4,39,0.266866,0.033498,71.542912
5,39,0.266866,0.033195,71.542912
6,39,0.266866,0.032655,71.735568
7,39,0.266866,0.033876,71.331632
8,39,0.266866,0.032740,72.001301
9,39,0.266866,0.032725,71.892241
10,39,0.266866,0.034674,71.775091
1,40,0.265902,0.063747,64.628892
2,40,0.265902,0.063747,64.628892
3,40,0.265902,0.064309,64.628892
4,40,0.265902,0.064309,64.628892
5,40,0.265902,0.064309,64.628892
6,40,0.265902,0.065036,64.709629
7,40,0.265902,0.065036,64.709629
8,40,0.265902,0.065847,64.428628
9,40,0.265902,0.063725,64.338511
10,40,0.265902,0.063801,64.338511
1,41,0.266866,0.023713,68.735731
2,41,0.266866,0.025753,68.735731
3,41,0.266866,0.026017,69.073835
4,41,0.266866,0.025784,68.857930
5,41,0.266866,0.025488,68.857930
6,41,0.266866,0.025488,68.777155
7,41,0.266866,0.024524,68.751334
8,41,0.266866,0.023163,68.535361
9,41,0.266866,0.023975,68.667317
10,41,0.266866,0.023772,68.839600
1,42,0.265753,0.091400,69.193538
2,42,0.265753,0.087798,69.164160
3,42,0.265753,0.087798,69.164160
4,42,0.265753,0.087798,69.164160
5,42,0.265753,0.084699,69.159074
6,42,0.265753,0.084878,68.879577
7,42,0.265753,0.085182,69.146771
8,42,0.265753,0.091754,69.146771
9,42,0.265753,0.092858,69.146771
10,42,0.265753,0.086298,69.103179
1,43,0.266866,0.056209,71.038195
2,43,0.266866,0.056209,71.038195
3,43,0.266866,0.056209,71.122021
4,43,0.266866,0.053481,71.017620
5,43,0.266866,0.053481,71.017620
6,43,0.266866,0.055299,71.036400
7,43,0.266866,0.055299,71.036400
8,43,0.266866,0.055299,71.036400
9,43,0.266866,0.055066,71.149360
10,43,0.266866,0.056044,71.129392
1,44,0.269357,0.039514,59.537681
2,44,0.269357,0.039514,59.534716
3,44,0.269357,0.039514,59.534716
4,44,0.269357,0.040549,59.656976
5,44,0.269357,0.040775,59.825485
6,44,0.269357,0.039643,59.685500
7,44,0.269357,0.039643,59.432933
8,44,0.269357,0.039260,59.357489
9,44,0.269357,0.039260,59.368590
10,44,0.269357,0.039260,59.368590
1,45,0.266866,0.060565,70.976024
2,45,0.266866,0.058578,70.868870
3,45,0.266866,0.058578,70.868870
4,45,0.266866,0.058578,70.847459
5,45,0.266866,0.058578,70.847459
6,45,0.266866,0.058578,70.847459
7,45,0.266866,0.058578,70.847459
8,45,0.266866,0.056859,70.712434
9,45,0.266866,0.058001,70.651313
10,45,0.266866,0.055063,70.651313
1,46,0.266470,0.041227,66.946230
2,46,0.266470,0.041508,66.946230
3,46,0.266470,0.041508,66.946230
4,46,0.266470,0.041508,66.946230
5,46,0.266470,0.041508,66.841619
6,46,0.266470,0.041314,66.841619
7,46,0.266470,0.041314,66.841619
8,46,0.266470,0.041314,66.736581
9,46,0.266470,0.041272,67.148143
10,46,0.266470,0.042872,67.192842
1,47,0.266866,0.055241,70.738799
2,47,0.266866,0.055241,70.738799
3,47,0.266866,0.055241,70.754151
4,47,0.266866,0.055241,70.754151
5,47,0.266866,0.055241,70.661839
6,47,0.266866,0.055241,70.661839
7,47,0.266866,0.055241,70.661839
8,47,0.266866,0.056113,70.763334
9,47,0.266866,0.053877,70.658613
10,47,0.266866,0.053877,70.658613
1,48,0.266866,0.024439,74.161118
2,48,0.266866,0.023720,73.570924
3,48,0.266866,0.024145,73.829673
4,48,0.266866,0.024347,73.829673
5,48,0.266866,0.024471,73.884951
6,48,0.266866,0.024471,73.884951
7,48,0.266866,0.025456,74.343694
8,48,0.266866,0.024645,73.971435
9,48,0.266866,0.025345,74.125643
10,48,0.266866,0.025760,74.038266
1,49,0.266866,0.055497,74.422984
2,49,0.266866,0.055937,74.430196
3,49,0.266866,0.051117,74.340815
4,49,0.266866,0.048035,74.430888
5,49,0.266866,0.047056,74.534887
6,49,0.266866,0.046825,74.534887
7,49,0.266866,0.045783,74.340385
8,49,0.266866,0.052231,74.681315
9,49,0.266866,0.052231,74.733725
10,49,0.266866,0.054873,74.563373
1,50,0.266866,0.061656,71.044616
2,50,0.266866,0.061656,71.044616
3,50,0.266866,0.061656,70.709496
4,50,0.266866,0.061656,70.993539
5,50,0.266866,0.064063,71.017999
6,50,0.266866,0.061290,71.042757
7,50,0.266866,0.061146,70.923653
8,50,0.266866,0.061146,70.923653
9,50,0.266866,0.061187,70.921337
10,50,0.266866,0.061187,70.921337
1,51,0.266866,0.039331,67.939887
2,51,0.266866,0.039355,67.939887
3,51,0.266866,0.038795,68.157451
4,51,0.266866,0.038793,67.930217
5,51,0.266866,0.038338,67.816593
6,51,0.266866,0.038338,67.816593
7,51,0.266866,0.038032,67.816593
8,51,0.266866,0.038032,67.816593
9,51,0.266866,0.038032,67.816593
10,51,0.266866,0.038032,67.816593
1,52,0.266866,0.052388,66.051504
2,52,0.266866,0.052388,66.051504
