rep,id,eta_p0,eta_alpha,eta_tau
4,20,0.000000,0.002411,-7.051815
5,20,0.000000,0.002411,-7.051815
6,20,0.000000,-0.021736,-7.051815
7,20,0.000000,-0.021736,-7.051815
8,20,0.000000,-0.021736,-7.051815
9,20,0.000000,-0.001642,-6.887188
10,20,0.000000,-0.026596,-7.170511
1,21,0.000000,0.021187,-5.045978
2,21,0.000000,0.061679,-5.375841
3,21,0.000000,0.063701,-4.951617
4,21,0.000000,0.073332,-4.889213
5,21,0.000000,0.084596,-4.910324
6,21,0.000000,0.084596,-4.910324
7,21,0.000000,0.120327,-5.133874
8,21,0.000000,0.120327,-4.616652
9,21,0.000000,0.130827,-5.037202
10,21,0.000000,0.130827,-4.725661
1,22,0.000000,-0.970323,9.156101
2,22,0.000000,-0.974772,9.034067
3,22,0.000000,-0.988032,9.098978
4,22,0.000000,-0.997629,9.357164
5,22,0.000000,-1.022813,10.253880
6,22,0.000000,-1.109974,10.512837
7,22,0.000000,-1.094107,10.356556
8,22,0.000000,-1.098441,10.691754
9,22,0.000000,-1.094182,11.351434
10,22,0.000000,-1.033946,11.147266
1,23,0.000000,-0.274183,-2.261562
2,23,0.000000,-0.310644,-2.145894
3,23,0.000000,-0.317532,-2.055513
4,23,0.000000,-0.279839,-2.248403
5,23,0.000000,-0.272760,-2.176303
6,23,0.000000,-0.286315,-2.176303
7,23,0.000000,-0.286315,-2.249364
8,23,0.000000,-0.328446,-2.421023
9,23,0.000000,-0.260697,-2.131976
10,23,0.000000,-0.343628,-2.405833
1,24,0.000000,-1.192522,9.990315
2,24,0.000000,-1.183134,10.976946
3,24,0.000000,-1.163832,9.608441
4,24,0.000000,-1.171432,10.063393
5,24,0.000000,-1.156126,10.063393
6,24,0.000000,-1.088237,9.419212
7,24,0.000000,-1.163121,10.258113
8,24,0.000000,-1.174667,9.137799
9,24,0.000000,-1.185250,9.897223
10,24,0.000000,-1.155990,9.116177
1,25,0.000000,-0.219698,3.605593
2,25,0.000000,-0.279570,3.605593
3,25,0.000000,-0.235310,3.624542
4,25,0.000000,-0.270298,3.835327
5,25,0.000000,-0.307672,4.196438
6,25,0.000000,-0.307672,3.453875
7,25,0.000000,-0.276972,4.201115
8,25,0.000000,-0.198804,3.919700
9,25,0.000000,-0.260571,3.996368
10,25,0.000000,-0.206020,3.719798
1,26,0.000000,0.639306,2.984275
2,26,0.000000,0.700909,2.984275
3,26,0.000000,0.716900,2.816828
4,26,0.000000,0.771459,2.632631
5,26,0.000000,0.845861,2.746662
6,26,0.000000,0.845861,2.746662
7,26,0.000000,0.722374,2.862404
8,26,0.000000,0.763055,3.025643
9,26,0.000000,0.694577,3.025643
10,26,0.000000,0.678393,3.091415
1,27,0.000000,-0.275155,-2.460288
2,27,0.000000,-0.275155,-2.460288
3,27,0.000000,-0.253335,-2.204767
4,27,0.000000,-0.299161,-2.658175
5,27,0.000000,-0.299161,-2.526471
6,27,0.000000,-0.338736,-2.443865
7,27,0.000000,-0.279743,-2.279169
8,27,0.000000,-0.277763,-2.279169
9,27,0.000000,-0.277319,-2.374021
10,27,0.000000,-0.332673,-2.622383
1,28,0.000000,0.247333,0.249890
2,28,0.000000,0.249576,0.204626
3,28,0.000000,0.247683,0.263098
4,28,0.000000,0.247621,0.120014
5,28,0.000000,0.247621,0.186088
6,28,0.000000,0.246766,0.114570
7,28,0.000000,0.246766,0.261340
8,28,0.000000,0.243632,0.261340
9,28,0.000000,0.243632,0.261340
10,28,0.000000,0.243632,0.093566
1,29,0.000000,0.608098,6.529972
2,29,0.000000,0.608098,6.529972
3,29,0.000000,0.595213,6.496507
4,29,0.000000,0.595213,6.496507
5,29,0.000000,0.595213,6.496507
6,29,0.000000,0.621106,6.496507
7,29,0.000000,0.621106,6.555320
8,29,0.000000,0.621106,6.555320
9,29,0.000000,0.621106,6.555320
10,29,0.000000,0.621106,6.555320
1,30,0.000000,-0.414803,-3.063316
2,30,0.000000,-0.414803,-3.063316
3,30,0.000000,-0.420628,-3.129875
4,30,0.000000,-0.421776,-3.129875
5,30,0.000000,-0.373284,-2.878405
6,30,0.000000,-0.400898,-2.685870
7,30,0.000000,-0.400898,-3.090026
8,30,0.000000,-0.407356,-2.843830
9,30,0.000000,-0.375265,-3.006477
10,30,0.000000,-0.388858,-2.763312
1,31,0.000000,0.504866,-7.480135
2,31,0.000000,0.478535,-7.300076
3,31,0.000000,0.498923,-7.188275
4,31,0.000000,0.510040,-7.267268
5,31,0.000000,0.459822,-7.267268
6,31,0.000000,0.459822,-7.668801
7,31,0.000000,0.457014,-7.481636
8,31,0.000000,0.493841,-7.359249
9,31,0.000000,0.493841,-7.359249
10,31,0.000000,0.481273,-7.395635
1,32,0.000000,0.353698,0.729152
2,32,0.000000,0.323007,0.628797
3,32,0.000000,0.453343,0.633411
4,32,0.000000,0.344981,0.713655
5,32,0.000000,0.361852,0.713655
6,32,0.000000,0.329970,0.713655
7,32,0.000000,0.352269,0.598471
8,32,0.000000,0.323133,0.718075
9,32,0.000000,0.374606,0.480269
10,32,0.000000,0.374606,0.480269
1,33,0.000000,-0.252440,2.120109
2,33,0.000000,-0.324264,2.257159
3,33,0.000000,-0.324264,2.280384
4,33,0.000000,-0.238418,2.335061
5,33,0.000000,-0.260189,1.859151
6,33,0.000000,-0.244275,1.775587
7,33,0.000000,-0.208850,1.753039
8,33,0.000000,-0.219579,1.595731
9,33,0.000000,-0.219579,1.674809
10,33,0.000000,-0.192970,1.984314
1,34,0.000000,0.154426,-4.823281
2,34,0.000000,0.154426,-4.823281
3,34,0.000000,0.154426,-4.805638
4,34,0.000000,0.144008,-4.820408
5,34,0.000000,0.144008,-5.147920
6,34,0.000000,0.144008,-4.731364
7,34,0.000000,0.155432,-4.617180
8,34,0.000000,0.126808,-4.774026
9,34,0.000000,0.126808,-4.744665
10,34,0.000000,0.126808,-4.744665
1,35,0.000000,0.064153,1.981755
2,35,0.000000,0.146011,1.935018
3,35,0.000000,0.162428,1.890212
4,35,0.000000,0.094393,2.211799
5,35,0.000000,0.081094,1.873480
6,35,0.000000,0.096877,1.737571
7,35,0.000000,0.123715,1.829252
8,35,0.000000,0.123715,1.829252
9,35,0.000000,0.112338,1.901657
10,35,0.000000,0.112338,1.901657
1,36,0.000000,-0.105586,-3.389955
2,36,0.000000,-0.097342,-3.389955
3,36,0.000000,-0.070041,-3.321941
4,36,0.000000,-0.021348,-2.859565
5,36,0.000000,-0.021348,-2.970824
6,36,0.000000,-0.033030,-3.549532
7,36,0.000000,-0.048422,-3.368635
8,36,0.000000,-0.020584,-3.241178
9,36,0.000000,-0.020584,-3.241178
10,36,0.000000,-0.063401,-2.953750
1,37,0.000000,-0.340218,-7.031811
2,37,0.000000,-0.340218,-7.031811
3,37,0.000000,-0.340218,-7.031811
4,37,0.000000,-0.349941,-7.188247
5,37,0.000000,-0.349941,-7.188247
6,37,0.000000,-0.343830,-7.219289
7,37,0.000000,-0.345190,-7.281152
8,37,0.000000,-0.358062,-6.996107
9,37,0.000000,-0.325762,-7.035215
10,37,0.000000,-0.389992,-7.243622
1,38,0.000000,0.608286,-4.729205
2,38,0.000000,0.555831,-4.825882
3,38,0.000000,0.555831,-4.825882
4,38,0.000000,0.593238,-4.986650
5,38,0.000000,0.574048,-4.866983
6,38,0.000000,0.617204,-4.743229
7,38,0.000000,0.623227,-4.523927
8,38,0.000000,0.643755,-4.480851
9,38,0.000000,0.643755,-4.365272
10,38,0.000000,0.636423,-4.273450
1,39,0.000000,-0.019463,1.085248
2,39,0.000000,-0.073912,1.085248
3,39,0.000000,-0.073912,1.085248
4,39,0.000000,-0.073912,1.085248
5,39,0.000000,-0.032499,1.274723
6,39,0.000000,-0.121432,1.018964
7,39,0.000000,-0.121432,1.018964
8,39,0.000000,-0.099008,1.248298
9,39,0.000000,-0.062149,1.373398
10,39,0.000000,-0.062149,1.078680
1,40,0.000000,0.614828,-6.743405
2,40,0.000000,0.586310,-6.644745
3,40,0.000000,0.628429,-6.575308
4,40,0.000000,0.600467,-6.575308
5,40,0.000000,0.600467,-6.575308
6,40,0.000000,0.592887,-6.626844
7,40,0.000000,0.592887,-6.626844
8,40,0.000000,0.612245,-6.626844
9,40,0.000000,0.623094,-6.594373
10,40,0.000000,0.628108,-6.575984
1,41,0.000000,-0.398016,-1.210496
2,41,0.000000,-0.398016,-1.541466
3,41,0.000000,-0.389204,-1.587609
4,41,0.000000,-0.366689,-1.587609
5,41,0.000000,-0.317608,-1.580317
6,41,0.000000,-0.336206,-1.094883
7,41,0.000000,-0.379165,-1.094883
8,41,0.000000,-0.376724,-1.338656
9,41,0.000000,-0.271275,-1.365643
10,41,0.000000,-0.271275,-1.158380
1,42,0.000000,0.925782,-2.444084
2,42,0.000000,0.866759,-2.444084
3,42,0.000000,0.859344,-2.444084
4,42,0.000000,0.892276,-2.347681
5,42,0.000000,0.892276,-2.329397
6,42,0.000000,0.881528,-2.482009
7,42,0.000000,0.889481,-2.411146
8,42,0.000000,0.889481,-2.411146
9,42,0.000000,0.907280,-2.411146
10,42,0.000000,0.889163,-2.411146
1,43,0.000000,0.471347,-0.043264
2,43,0.000000,0.439364,-0.218384
3,43,0.000000,0.439364,-0.218384
4,43,0.000000,0.447922,-0.218384
5,43,0.000000,0.421729,-0.218384
6,43,0.000000,0.421729,-0.218384
7,43,0.000000,0.443078,-0.218384
8,43,0.000000,0.443078,-0.218384
9,43,0.000000,0.460039,-0.218384
10,43,0.000000,0.392367,-0.218384
1,44,0.000000,0.071701,-11.523644
2,44,0.000000,0.094216,-11.398949
3,44,0.000000,0.103720,-11.398949
4,44,0.000000,0.095197,-11.398949
5,44,0.000000,0.095197,-11.398949
6,44,0.000000,0.103295,-11.402941
7,44,0.000000,0.103295,-11.402941
8,44,0.000000,0.085595,-11.569157
9,44,0.000000,0.085595,-11.523005
10,44,0.000000,0.059979,-11.579478
1,45,0.000000,0.445930,-0.516082
2,45,0.000000,0.463836,-0.442123
3,45,0.000000,0.463836,-0.442123
4,45,0.000000,0.478785,-0.518412
5,45,0.000000,0.478785,-0.518412
6,45,0.000000,0.478785,-0.560202
7,45,0.000000,0.479691,-0.560202
8,45,0.000000,0.479691,-0.445019
9,45,0.000000,0.479691,-0.445019
10,45,0.000000,0.502474,-0.448973
1,46,0.000000,0.154903,-4.038385
2,46,0.000000,0.154903,-4.038385
3,46,0.000000,0.149342,-3.965701
4,46,0.000000,0.132309,-4.248300
5,46,0.000000,0.138008,-4.113745
6,46,0.000000,0.153426,-3.930407
7,46,0.000000,0.153426,-3.930407
8,46,0.000000,0.153426,-3.913591
9,46,0.000000,0.153426,-3.913591
10,46,0.000000,0.127092,-3.913591
1,47,0.000000,0.440761,-0.371030
2,47,0.000000,0.440761,-0.371030
3,47,0.000000,0.440761,-0.405973
4,47,0.000000,0.434827,-0.525893
5,47,0.000000,0.427302,-0.525893
6,47,0.000000,0.427302,-0.525893
7,47,0.000000,0.450687,-0.525893
8,47,0.000000,0.425196,-0.450279
9,47,0.000000,0.425196,-0.450279
10,47,0.000000,0.468288,-0.479945
1,48,0.000000,-0.361866,3.868203
2,48,0.000000,-0.346019,3.824467
3,48,0.000000,-0.310900,4.227141
4,48,0.000000,-0.310900,3.894920
5,48,0.000000,-0.339946,4.242937
6,48,0.000000,-0.339946,4.203197
7,48,0.000000,-0.339946,4.203197
8,48,0.000000,-0.311971,3.956130
9,48,0.000000,-0.311971,4.090012
10,48,0.000000,-0.311971,4.090012
1,49,0.000000,0.420237,3.315453
2,49,0.000000,0.376826,3.315453
3,49,0.000000,0.433226,3.315453
4,49,0.000000,0.439568,3.510076
5,49,0.000000,0.510312,3.183442
6,49,0.000000,0.537861,3.183442
7,49,0.000000,0.540850,3.343871
8,49,0.000000,0.241337,3.645569
9,49,0.000000,0.437520,3.443930
10,49,0.000000,0.333766,3.443930
1,50,0.000000,0.548294,-0.353329
2,50,0.000000,0.545359,-0.353329
3,50,0.000000,0.545359,-0.353329
4,50,0.000000,0.545359,-0.353329
5,50,0.000000,0.545359,-0.353329
6,50,0.000000,0.586260,-0.304909
7,50,0.000000,0.565785,-0.280298
8,50,0.000000,0.565785,-0.280298
9,50,0.000000,0.548096,-0.426859
10,50,0.000000,0.548096,-0.426859
1,51,0.000000,0.069429,-3.139144
2,51,0.000000,0.069429,-3.139144
3,51,0.000000,0.069429,-3.139144
4,51,0.000000,0.085146,-3.139144
5,51,0.000000,0.085146,-3.139144
6,51,0.000000,0.085146,-3.139144
7,51,0.000000,0.085146,-3.139144
8,51,0.000000,0.085146,-3.139144
9,51,0.000000,0.085146,-3.139144
10,51,0.000000,0.052917,-3.097621
1,52,0.000000,0.407130,-5.017599
2,52,0.000000,0.391063,-5.156306
3,52,0.000000,0.391063,-5.156306
4,52,0.000000,0.391063,-5.128514
5,52,0.000000,0.391063,-5.128514
6,52,0.000000,0.391063,-5.252018
7,52,0.000000,0.349536,-5.252018
8,52,0.000000,0.380238,-5.252018
9,52,0.000000,0.380238,-5.252018
10,52,0.000000,0.380238,-5.252018
1,53,0.000000,0.408403,-4.791980
2,53,0.000000,0.459455,-4.641256
3,53,0.000000,0.433521,-4.641256
4,53,0.000000,0.423811,-4.535582
5,53,0.000000,0.428881,-4.539634
6,53,0.000000,0.453558,-4.539634
7,53,0.000000,0.461913,-4.819969
8,53,0.000000,0.462597,-4.662198
9,53,0.000000,0.462597,-4.662198
10,53,0.000000,0.500335,-4.223207
1,54,0.000000,-0.017464,2.471181
2,54,0.000000,-0.009374,2.606666
3,54,0.000000,-0.078913,2.544177
4,54,0.000000,-0.037415,2.544177
5,54,0.000000,-0.038139,2.581627
6,54,0.000000,-0.038139,2.440995
7,54,0.000000,-0.041981,2.440995
8,54,0.000000,-0.103116,2.310860
9,54,0.000000,-0.077676,2.310860
10,54,0.000000,-0.070999,2.581253
1,55,0.000000,0.614750,-8.094238
2,55,0.000000,0.614750,-8.162833
3,55,0.000000,0.614750,-8.162833
4,55,0.000000,0.633009,-8.093771
5,55,0.000000,0.633009,-8.093771
6,55,0.000000,0.594791,-8.099601
7,55,0.000000,0.575446,-8.278326
8,55,0.000000,0.582856,-8.252924
9,55,0.000000,0.582856,-8.254425
10,55,0.000000,0.582856,-8.254425
1,56,0.000000,0.433255,-0.260172
2,56,0.000000,0.430672,-0.173559
3,56,0.000000,0.440401,-0.385570
4,56,0.000000,0.451212,0.032872
5,56,0.000000,0.435520,-0.181692
6,56,0.000000,0.435520,-0.494959
7,56,0.000000,0.431665,-0.386050
8,56,0.000000,0.448628,0.031458
9,56,0.000000,0.475885,-0.296596
10,56,0.000000,0.503519,0.268612
1,57,0.000000,0.040434,-0.610748
2,57,0.000000,0.040434,-0.628793
3,57,0.000000,0.040434,-0.628793
4,57,0.000000,0.040434,-0.628793
5,57,0.000000,0.042128,-0.628793
6,57,0.000000,0.042128,-0.628793
7,57,0.000000,0.042437,-0.722676
8,57,0.000000,0.032989,-0.551255
9,57,0.000000,0.033806,-0.551255
10,57,0.000000,0.033806,-0.551255
1,58,0.000000,-0.500247,-8.574527
2,58,0.000000,-0.532523,-9.260205
3,58,0.000000,-0.532523,-9.194009
4,58,0.000000,-0.508166,-9.189800
5,58,0.000000,-0.514376,-8.962120
6,58,0.000000,-0.526440,-8.820741
7,58,0.000000,-0.535732,-9.287275
8,58,0.000000,-0.508426,-9.216124
9,58,0.000000,-0.508455,-8.821326
10,58,0.000000,-0.564301,-8.821326
1,59,0.000000,0.117142,6.222973
2,59,0.000000,0.095913,6.407837
3,59,0.000000,0.095913,6.407837
4,59,0.000000,0.105219,5.891242
5,59,0.000000,0.105219,6.181350
6,59,0.000000,0.111465,5.997019
7,59,0.000000,0.076030,6.333870
8,59,0.000000,0.111030,6.384268
9,59,0.000000,0.138043,6.384268
10,59,0.000000,0.119441,6.253828
1,60,0.000000,0.692460,0.624370
2,60,0.000000,0.593017,0.493045
3,60,0.000000,0.663785,0.826185
4,60,0.000000,0.622344,0.760022
5,60,0.000000,0.633160,0.566738
6,60,0.000000,0.633160,0.885882
7,60,0.000000,0.633160,0.660292
8,60,0.000000,0.633160,0.660292
9,60,0.000000,0.645104,0.660292
10,60,0.000000,0.645104,0.660292
1,61,0.000000,0.571544,-7.635544
2,61,0.000000,0.557482,-7.635544
3,61,0.000000,0.553818,-7.799536
