"","datasize","algo","variable","iter"
"288",95000,"IEM","X5",732717
"289",1e+05,"IEM","X5",782638
"290",105000,"IEM","X5",826216
"291",1000,"IEMseq","X1",2779
"292",2000,"IEMseq","X1",8394
"293",3000,"IEMseq","X1",10349
"294",4000,"IEMseq","X1",19040
"295",5000,"IEMseq","X1",21875
"296",6000,"IEMseq","X1",23091
"297",7000,"IEMseq","X1",26868
"298",8000,"IEMseq","X1",33096
"299",9000,"IEMseq","X1",31985
"300",10000,"IEMseq","X1",36635
"301",15000,"IEMseq","X1",49194
"302",20000,"IEMseq","X1",70951
"303",25000,"IEMseq","X1",90964
"304",30000,"IEMseq","X1",101068
"305",35000,"IEMseq","X1",114698
"306",40000,"IEMseq","X1",129342
"307",45000,"IEMseq","X1",148012
"308",50000,"IEMseq","X1",169122
"309",55000,"IEMseq","X1",186225
"310",60000,"IEMseq","X1",203464
"311",65000,"IEMseq","X1",217800
"312",70000,"IEMseq","X1",223332
"313",75000,"IEMseq","X1",245381
"314",80000,"IEMseq","X1",258406
"315",85000,"IEMseq","X1",281684
"316",90000,"IEMseq","X1",304719
"317",95000,"IEMseq","X1",327676
"318",1e+05,"IEMseq","X1",349384
"319",105000,"IEMseq","X1",369731
"320",1000,"IEMseq","X2",4540
"321",2000,"IEMseq","X2",7247
"322",3000,"IEMseq","X2",9807
"323",4000,"IEMseq","X2",14276
"324",5000,"IEMseq","X2",19953
"325",6000,"IEMseq","X2",21723
"326",7000,"IEMseq","X2",22487
"327",8000,"IEMseq","X2",26359
"328",9000,"IEMseq","X2",32352
"329",10000,"IEMseq","X2",34812
"330",15000,"IEMseq","X2",46793
"331",20000,"IEMseq","X2",67233
"332",25000,"IEMseq","X2",89277
"333",30000,"IEMseq","X2",104314
"334",35000,"IEMseq","X2",120557
"335",40000,"IEMseq","X2",141657
"336",45000,"IEMseq","X2",154109
"337",50000,"IEMseq","X2",184218
"338",55000,"IEMseq","X2",208779
"339",60000,"IEMseq","X2",220389
"340",65000,"IEMseq","X2",236373
"341",70000,"IEMseq","X2",252130
"342",75000,"IEMseq","X2",260666
"343",80000,"IEMseq","X2",282472
"344",85000,"IEMseq","X2",296667
"345",90000,"IEMseq","X2",315033
"346",95000,"IEMseq","X2",336145
"347",1e+05,"IEMseq","X2",353303
"348",105000,"IEMseq","X2",374053
"349",1000,"IEMseq","X3",2772
"350",2000,"IEMseq","X3",4413
"351",3000,"IEMseq","X3",8615
"352",4000,"IEMseq","X3",11205
"353",5000,"IEMseq","X3",15253
"354",6000,"IEMseq","X3",21518
"355",7000,"IEMseq","X3",25990
"356",8000,"IEMseq","X3",29150
"357",9000,"IEMseq","X3",32427
"358",10000,"IEMseq","X3",35455
"359",15000,"IEMseq","X3",49175
"360",20000,"IEMseq","X3",74436
"361",25000,"IEMseq","X3",85969
"362",30000,"IEMseq","X3",105485
"363",35000,"IEMseq","X3",125188
"364",40000,"IEMseq","X3",143104
"365",45000,"IEMseq","X3",158652
"366",50000,"IEMseq","X3",167597
"367",55000,"IEMseq","X3",185824
"368",60000,"IEMseq","X3",205559
"369",65000,"IEMseq","X3",219701
"370",70000,"IEMseq","X3",232203
"371",75000,"IEMseq","X3",252580
"372",80000,"IEMseq","X3",270120
"373",85000,"IEMseq","X3",282568
"374",90000,"IEMseq","X3",300425
"375",95000,"IEMseq","X3",316342
"376",1e+05,"IEMseq","X3",332021
"377",105000,"IEMseq","X3",353253
"378",1000,"IEMseq","X4",4893
"379",2000,"IEMseq","X4",9536
"380",3000,"IEMseq","X4",13400
"381",4000,"IEMseq","X4",15010
"382",5000,"IEMseq","X4",18115
"383",6000,"IEMseq","X4",20003
"384",7000,"IEMseq","X4",23530
"385",8000,"IEMseq","X4",28002
"386",9000,"IEMseq","X4",34234
"387",10000,"IEMseq","X4",38011
"388",15000,"IEMseq","X4",50368
"389",20000,"IEMseq","X4",74004
"390",25000,"IEMseq","X4",83325
"391",30000,"IEMseq","X4",99663
"392",35000,"IEMseq","X4",122045
"393",40000,"IEMseq","X4",140769
"394",45000,"IEMseq","X4",161832
"395",50000,"IEMseq","X4",175505
"396",55000,"IEMseq","X4",201948
"397",60000,"IEMseq","X4",213181
"398",65000,"IEMseq","X4",236332
"399",70000,"IEMseq","X4",243975
"400",75000,"IEMseq","X4",267724
"401",80000,"IEMseq","X4",281512
"402",85000,"IEMseq","X4",291983
"403",90000,"IEMseq","X4",307393
"404",95000,"IEMseq","X4",324347
