rep,id,eta_p0,eta_alpha,eta_tau
10,35,0.000000,0.082392,2.080904
1,36,0.000000,-0.055448,-3.176218
2,36,0.000000,-0.055448,-3.176218
3,36,0.000000,-0.067972,-3.252004
4,36,0.000000,-0.067972,-3.252004
5,36,0.000000,-0.067972,-3.252004
6,36,0.000000,-0.014948,-3.150123
7,36,0.000000,-0.001405,-3.150123
8,36,0.000000,0.004198,-2.972432
9,36,0.000000,0.004198,-3.013440
10,36,0.000000,-0.034285,-3.371031
1,37,0.000000,-0.380467,-7.646145
2,37,0.000000,-0.380467,-7.646145
3,37,0.000000,-0.365829,-7.646145
4,37,0.000000,-0.404456,-7.653610
5,37,0.000000,-0.381723,-7.734629
6,37,0.000000,-0.371571,-7.779816
7,37,0.000000,-0.386832,-7.845491
8,37,0.000000,-0.347249,-7.303563
9,37,0.000000,-0.332004,-7.520436
10,37,0.000000,-0.332004,-7.520436
1,38,0.000000,0.634410,-3.662187
2,38,0.000000,0.625650,-4.463814
3,38,0.000000,0.514995,-5.018486
4,38,0.000000,0.527403,-4.411723
5,38,0.000000,0.571537,-4.392964
6,38,0.000000,0.603749,-4.381773
7,38,0.000000,0.634590,-4.383517
8,38,0.000000,0.598587,-4.168412
9,38,0.000000,0.610541,-3.981613
10,38,0.000000,0.634768,-3.899598
1,39,0.000000,-0.087050,1.107364
2,39,0.000000,-0.087050,1.107364
3,39,0.000000,-0.086191,1.330980
4,39,0.000000,-0.042199,1.268263
5,39,0.000000,-0.077934,1.258026
6,39,0.000000,-0.026072,1.258026
7,39,0.000000,-0.026072,1.258026
8,39,0.000000,-0.076927,1.137261
9,39,0.000000,-0.053912,1.004678
10,39,0.000000,-0.072504,1.097635
1,40,0.000000,0.596391,-6.293659
2,40,0.000000,0.596391,-6.293659
3,40,0.000000,0.596391,-6.293659
4,40,0.000000,0.596391,-6.293659
5,40,0.000000,0.594907,-6.164089
6,40,0.000000,0.594907,-6.164089
7,40,0.000000,0.622445,-5.981604
8,40,0.000000,0.572087,-6.217723
9,40,0.000000,0.581619,-6.217723
10,40,0.000000,0.581619,-6.217723
1,41,0.000000,-0.331512,-1.591807
2,41,0.000000,-0.331512,-1.434448
3,41,0.000000,-0.315455,-1.698482
4,41,0.000000,-0.369384,-1.663923
5,41,0.000000,-0.369384,-1.393929
6,41,0.000000,-0.365642,-1.475053
7,41,0.000000,-0.325369,-1.699945
8,41,0.000000,-0.344759,-1.498611
9,41,0.000000,-0.407119,-1.798236
10,41,0.000000,-0.444999,-1.983228
1,42,0.000000,0.918739,-1.715882
2,42,0.000000,0.912607,-1.705468
