rep,id,p0,alpha,tau
1,222,0.403735,0.088991,79.994253
1,223,0.403735,0.021956,76.502216
1,224,0.403735,0.017146,85.819025
1,225,0.403735,0.014188,82.665436
1,226,0.403735,0.060592,66.804421
1,227,0.403735,0.021628,77.494448
1,228,0.403735,0.022148,77.401682
1,229,0.403735,0.024742,70.919742
1,230,0.403735,0.047988,85.297435
1,231,0.403735,0.047206,72.773436
1,232,0.403735,0.069952,72.977044
1,233,0.403735,0.058694,66.894706
1,234,0.403735,0.041988,66.829300
1,235,0.403735,0.026366,68.333299
1,236,0.403735,0.043003,75.441472
1,237,0.403735,0.060467,62.946548
1,238,0.403735,0.047813,79.063411
1,239,0.403735,0.036938,77.319105
1,240,0.403735,0.023268,75.231899
1,241,0.403735,0.032791,64.462604
1,242,0.403735,0.035580,75.576666
1,243,0.403735,0.025903,84.973483
1,244,0.403735,0.023316,77.095609
1,245,0.403735,0.021564,67.887836
1,246,0.403735,0.063679,71.582777
1,247,0.403735,0.017535,79.217904
1,248,0.403735,0.037756,73.576192
1,249,0.403735,0.054195,63.859092
1,250,0.403735,0.055308,64.371003
