rep,id,eta_p0,eta_alpha,eta_tau
1,61,0.000000,0.574524,-8.956336
1,62,0.000000,0.811008,8.684569
1,63,0.000000,-0.624015,-3.630066
1,64,0.000000,0.070841,0.426080
1,65,0.000000,0.018389,7.523396
1,66,0.000000,0.605410,-1.802422
1,67,0.000000,-0.106908,16.032297
1,68,0.000000,-0.486877,5.736260
1,69,0.000000,-0.175249,5.617728
1,70,0.000000,-0.509535,6.366796
1,71,0.000000,-0.879271,9.874098
1,72,0.000000,-0.778899,0.352729
1,73,0.000000,0.101064,-2.104015
1,74,0.000000,0.240830,3.759666
1,75,0.000000,-0.594970,2.529151
1,76,0.000000,-0.003777,2.813053
1,77,0.000000,0.268813,-9.344481
1,78,0.000000,0.555963,2.647697
1,79,0.000000,-0.433807,-2.040136
1,80,0.000000,0.455162,10.838611
1,81,0.000000,-0.429130,-6.125174
1,82,0.000000,-0.282101,0.790969
1,83,0.000000,-0.298154,0.767449
1,84,0.000000,-0.363333,-5.725570
1,85,0.000000,-0.942645,4.707300
1,86,0.000000,0.318705,2.452390
1,87,0.000000,0.632496,-9.660491
1,88,0.000000,-0.097446,-1.487207
1,89,0.000000,-0.025257,-13.023082
1,90,0.000000,0.368167,5.884484
1,91,0.000000,0.040227,6.592232
1,92,0.000000,-0.500909,-6.966428
1,93,0.000000,-0.163097,-9.778064
1,94,0.000000,0.147194,7.900222
1,95,0.000000,-0.101483,-6.591461
1,96,0.000000,0.210202,-5.098908
1,97,0.000000,-0.007489,0.234783
1,98,0.000000,0.402223,-9.700480
1,99,0.000000,-0.109963,6.079168
1,100,0.000000,0.366683,-4.468471
1,101,0.000000,0.621904,-5.763682
1,102,0.000000,-0.097563,5.620770
1,103,0.000000,-0.021203,10.901742
1,104,0.000000,0.425953,-6.529537
1,105,0.000000,-0.069502,10.800762
1,106,0.000000,1.175121,-0.412625
1,107,0.000000,-0.673371,-10.125019
1,108,0.000000,0.769667,-5.161444
1,109,0.000000,0.372193,-5.462329
1,110,0.000000,-0.751432,-5.114558
1,111,0.000000,0.117954,-15.415371
1,112,0.000000,-0.479304,-1.200590
1,113,0.000000,0.296444,-3.488661
1,114,0.000000,-0.839669,-1.073776
1,115,0.000000,-0.124219,-1.094921
1,116,0.000000,0.193358,-9.437988
1,117,0.000000,0.234988,8.182948
1,118,0.000000,-0.627942,13.053906
1,119,0.000000,1.101090,-9.374061
1,120,0.000000,0.357350,12.743322
1,121,0.000000,0.042383,-4.484806
1,122,0.000000,-0.130810,12.533125
1,123,0.000000,-0.015774,14.576003
1,124,0.000000,-0.073040,8.101107
1,125,0.000000,0.145180,2.731674
1,126,0.000000,-0.691557,3.418907
1,127,0.000000,-0.577340,11.330908
1,128,0.000000,-1.305253,19.516675
1,129,0.000000,0.304365,11.481718
1,130,0.000000,-0.696625,14.622017
1,131,0.000000,0.368231,-10.699280
1,132,0.000000,-0.492953,-0.834580
1,133,0.000000,0.246650,-1.141051
1,134,0.000000,0.455019,2.787581
1,135,0.000000,-0.727137,7.009240
1,136,0.000000,1.256436,-4.464727
1,137,0.000000,-0.013651,3.745086
1,138,0.000000,1.186716,-7.587248
1,139,0.000000,-0.357252,-14.704492
1,140,0.000000,-0.745481,10.793325
1,141,0.000000,-0.330217,-0.189408
1,142,0.000000,0.054694,-14.128562
1,143,0.000000,0.181498,3.071949
1,144,0.000000,-0.382864,-5.078455
1,145,0.000000,0.578162,7.684740
1,146,0.000000,0.147841,-4.289140
1,147,0.000000,0.539964,-14.435880
1,148,0.000000,-0.146659,-3.618082
1,149,0.000000,0.111611,0.685253
1,150,0.000000,-0.084261,1.578107
1,151,0.000000,-0.950755,14.342001
1,152,0.000000,-0.304024,-0.117172
1,153,0.000000,-0.037474,3.402781
1,154,0.000000,0.353645,11.437614
1,155,0.000000,-0.494622,5.432372
1,156,0.000000,0.080818,11.992746
1,157,0.000000,0.670274,-7.609303
1,158,0.000000,-0.129878,-10.444045
1,159,0.000000,-0.107171,6.856552
1,160,0.000000,-0.176714,2.898162
1,161,0.000000,0.440880,2.722613
1,162,0.000000,-0.379588,18.390099
1,163,0.000000,-0.523707,8.222208
1,164,0.000000,-1.080085,12.977926
1,165,0.000000,0.383913,-4.174968
1,166,0.000000,-0.295797,4.823834
1,167,0.000000,-1.441927,20.517274
1,168,0.000000,0.807792,16.444060
1,169,0.000000,0.699061,-8.613483
1,170,0.000000,0.091369,-0.180732
1,171,0.000000,-0.994955,4.288022
1,172,0.000000,-0.217730,-0.480258
1,173,0.000000,0.580182,-6.994137
