iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
124,-5181.8,1,0.0426581,0.0444685,0.480427,6.82181,0.408644,74.2055
125,-5267.37,1,0.041578,0.0439992,0.484763,6.86758,0.408772,74.3134
126,-5351.92,1,0.0405252,0.0441511,0.48076,6.8364,0.408552,74.2552
127,-5442.28,1,0.0394991,0.0433564,0.488717,7.01253,0.408194,74.3806
128,-5466.8,1,0.038499,0.0435963,0.479711,6.95709,0.408395,74.2623
129,-5588.22,1,0.0375241,0.0437945,0.471706,6.91313,0.407939,74.2565
130,-5674.66,1,0.036574,0.0433876,0.484879,7.03781,0.408133,74.3105
131,-5773.79,1,0.0356479,0.0432589,0.499102,7.06804,0.408179,74.3575
132,-5812.88,1,0.0347453,0.0435182,0.516874,7.21069,0.406822,74.391
133,-5882.76,1,0.0338655,0.0438073,0.513924,7.04396,0.406222,74.3877
134,-5982.31,1,0.033008,0.0435787,0.513963,7.07564,0.405931,74.4685
135,-6078.37,1,0.0321723,0.0438568,0.505951,7.09332,0.408193,74.4965
136,-6129.59,1,0.0313576,0.0438117,0.49314,7.07688,0.409253,74.4973
137,-6234.08,1,0.0305636,0.0437719,0.496242,7.10941,0.408983,74.5104
138,-6346.15,1,0.0297898,0.0438594,0.491335,6.99363,0.408625,74.396
139,-6441.83,1,0.0290355,0.0436954,0.489247,6.98466,0.408371,74.3887
140,-6537.3,1,0.0283003,0.0442045,0.485486,6.83002,0.408295,74.3002
141,-6614.28,1,0.0275837,0.0436388,0.487127,6.95734,0.410097,74.3748
142,-6690.58,1,0.0268853,0.0433294,0.485934,6.99492,0.410131,74.4089
143,-6742.02,1,0.0262045,0.0436078,0.491431,7.02615,0.409451,74.3817
144,-6815.27,1,0.025541,0.043471,0.487367,7.02901,0.40922,74.4031
145,-6895.23,1,0.0248943,0.0434085,0.505393,7.03059,0.407125,74.3743
146,-6946.23,1,0.0242639,0.0438122,0.514521,7.05176,0.406867,74.4124
147,-7023.03,1,0.0236496,0.0432482,0.507274,7.22626,0.406539,74.4823
148,-7122.64,1,0.0230507,0.0432743,0.506963,7.16777,0.406791,74.4497
