rep,id,Tlag,Tk0,Vol,Cl,ke0,IC50,gamma,s,d,beta,delta,p,c,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,52,0.0125962735680125,0.452208335159567,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,3.65196509902905,-0.509078217249143,0,0,0,0,0,0,0,0,0,0,0
1,53,6.90295286122198e-05,0.933672887581817,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.55465683764372,0.21590494007074,0,0,0,0,0,0,0,0,0,0,0
1,54,0.0432414613953962,0.676059333358821,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,4.88536386688752,-0.106940365953538,0,0,0,0,0,0,0,0,0,0,0
1,55,8.33739664521729e-06,0.666259465814059,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-3.66844018680868,-0.121542026405725,0,0,0,0,0,0,0,0,0,0,0
1,56,0.000299671889872174,0.935082855357226,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.0865030258944888,0.217413931332209,0,0,0,0,0,0,0,0,0,0,0
1,57,1.3606302450699e-05,1.15733392372804,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-3.17865810070707,0.430653087859981,0,0,0,0,0,0,0,0,0,0,0
1,58,1.41954683303995e-06,0.660881731471703,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-5.43885351258003,-0.129646309186165,0,0,0,0,0,0,0,0,0,0,0
1,59,0.000935192600863435,0.273593562661464,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.05156129670604,-1.01157755219821,0,0,0,0,0,0,0,0,0,0,0
1,60,4.15118592592198e-07,1.19832537726903,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-6.66838223589,0.465459132804501,0,0,0,0,0,0,0,0,0,0,0
1,61,0.00298757920135043,1.65213441414565,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,2.21302750520279,0.786602105880267,0,0,0,0,0,0,0,0,0,0,0
1,62,0.000238923872719714,0.489204487307629,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.313046224591236,-0.43044063286816,0,0,0,0,0,0,0,0,0,0,0
1,63,0.000771491039735817,0.251539549973872,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,0.85913385605603,-1.09562097585204,0,0,0,0,0,0,0,0,0,0,0
1,64,3.29875294162477e-05,1.3343858470452,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.29306160802957,0.573005215931427,0,0,0,0,0,0,0,0,0,0,0
1,65,6.42450514653549e-05,0.576920175602348,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.62648650078318,-0.265517296291402,0,0,0,0,0,0,0,0,0,0,0
1,66,0.000708007131441582,1.13214195418664,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,0.773262964702747,0.408645442740304,0,0,0,0,0,0,0,0,0,0,0
1,67,0.00124182928426438,0.277139214860769,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.33514959916504,-0.998701248724948,0,0,0,0,0,0,0,0,0,0,0
1,68,0.00232943930239392,0.441221413890032,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.9641916732534,-0.53367438762198,0,0,0,0,0,0,0,0,0,0,0
1,69,0.00221999635772877,0.865929006447257,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.91606963260442,0.140581717117989,0,0,0,0,0,0,0,0,0,0,0
1,70,0.00280452046954832,1.21500727007909,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,2.14979664614663,0.479284129975244,0,0,0,0,0,0,0,0,0,0,0
1,71,1.36946319728113e-05,0.350201478104109,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-3.17218727235004,-0.764712568800104,0,0,0,0,0,0,0,0,0,0,0
1,72,0.0677720544711712,0.781137228033832,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,5.33471401142136,0.0375296331290323,0,0,0,0,0,0,0,0,0,0,0
1,73,8.11121913335489e-05,0.254125693560112,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.39335792706943,-1.0853922082324,0,0,0,0,0,0,0,0,0,0,0
1,74,1.87773060011447e-06,0.525422406363914,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-5.15912728152005,-0.359018686747588,0,0,0,0,0,0,0,0,0,0,0
1,75,0.0769712427006365,1.24285055514877,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,5.46199595805985,0.501941645732609,0,0,0,0,0,0,0,0,0,0,0
1,76,0.15249768226036,0.574377476579524,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,6.14571347502354,-0.269934404503492,0,0,0,0,0,0,0,0,0,0,0
1,77,0.0214710242554052,1.15491170522352,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,4.18526839449036,0.428557964954158,0,0,0,0,0,0,0,0,0,0,0
1,78,0.00453381606868219,0.588373469587194,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,2.6301280615277,-0.24585931075178,0,0,0,0,0,0,0,0,0,0,0
1,79,0.0014281991619566,0.737556624415016,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.47497840073405,-0.0198783452512444,0,0,0,0,0,0,0,0,0,0,0
1,80,7.38969874181432e-05,0.496095078415864,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.48651914012899,-0.416453610676447,0,0,0,0,0,0,0,0,0,0,0
1,81,0.0379654294865564,1.06652619591737,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,4.75524007268289,0.348940890734484,0,0,0,0,0,0,0,0,0,0,0
1,82,1.96380419678154e-05,0.741693796223155,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.81172259978126,-0.0142847249451748,0,0,0,0,0,0,0,0,0,0,0
1,83,1.0884583700114e-06,0.491843545540201,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-5.70442884591796,-0.425060540334619,0,0,0,0,0,0,0,0,0,0,0
1,84,1.15931406205527e-06,0.846043846665932,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-5.64136269719606,0.117349977087818,0,0,0,0,0,0,0,0,0,0,0
1,85,2.91860573265921e-05,1.48396656943646,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.41550009517304,0.679252686753967,0,0,0,0,0,0,0,0,0,0,0
1,86,0.0152502994632627,0.592450024682755,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,3.84316321718017,-0.238954686460769,0,0,0,0,0,0,0,0,0,0,0
1,87,0.00136233193647852,0.523517616643777,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.42776196795783,-0.362650527981749,0,0,0,0,0,0,0,0,0,0,0
1,88,9.57812666230951e-05,0.698941896465116,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.22712408247457,-0.073653594404973,0,0,0,0,0,0,0,0,0,0,0
1,89,0.000187770129572896,1.55074927396104,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.55397270193161,0.723272286281735,0,0,0,0,0,0,0,0,0,0,0
1,90,0.000259086307504499,0.833106094609334,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.23202996180019,0.101939789147977,0,0,0,0,0,0,0,0,0,0,0
1,91,0.0174447854628551,0.375661695706381,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,3.97760485403139,-0.694532216471457,0,0,0,0,0,0,0,0,0,0,0
1,92,0.0406560961448602,0.373274289160498,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,4.82371286879746,-0.700907700306709,0,0,0,0,0,0,0,0,0,0,0
1,93,0.000201158467258673,1.01048675763044,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.485098209836565,0.294966222602632,0,0,0,0,0,0,0,0,0,0,0
1,94,0.000108609004864375,0.99836757140886,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.10143687981565,0.282900307141931,0,0,0,0,0,0,0,0,0,0,0
1,95,1.74051962923101e-05,0.738943932077708,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.93242240247157,-0.0179991613053332,0,0,0,0,0,0,0,0,0,0,0
1,96,0.00341033476002157,0.530667795068664,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,2.34537453395565,-0.34908500526606,0,0,0,0,0,0,0,0,0,0,0
1,97,0.000962329658812036,0.894518796092532,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.08016587104404,0.173064706302103,0,0,0,0,0,0,0,0,0,0,0
1,98,0.000582528252675598,3.75362343744409,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,0.578186485113183,1.60725569304483,0,0,0,0,0,0,0,0,0,0,0
1,99,0.00085285680836937,0.633377517553423,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,0.959400463536693,-0.172154570774666,0,0,0,0,0,0,0,0,0,0,0
1,100,4.01285188724289e-05,1.09052537501664,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.09710392623765,0.371193645143122,0,0,0,0,0,0,0,0,0,0,0
