id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
195,0.000000,-0.002870,-4.339784,0.000000,-0.002360,-4.298372,0.000000,0.024450,0.194524
196,0.000000,0.255910,-6.149299,0.000000,0.264444,-6.051946,0.000000,0.036469,0.291427
197,0.000000,0.418079,0.841241,0.000000,0.415406,0.862593,0.000000,0.046610,0.101126
198,0.000000,1.263790,1.545094,0.000000,1.269697,1.593987,0.000000,0.064498,0.312856
199,0.000000,0.298986,-6.341172,0.000000,0.296753,-6.314034,0.000000,0.017785,0.121100
200,0.000000,-0.440350,-4.833182,0.000000,-0.437359,-4.750200,0.000000,0.026492,0.275179
201,0.000000,-0.606437,9.526965,0.000000,-0.609283,9.573055,0.000000,0.039855,0.284189
202,0.000000,-0.965577,0.312189,0.000000,-0.965977,0.343470,0.000000,0.036440,0.286623
203,0.000000,-0.450782,-5.739345,0.000000,-0.453908,-5.720449,0.000000,0.021165,0.167567
204,0.000000,-0.379925,-6.190056,0.000000,-0.373936,-6.134443,0.000000,0.032352,0.191375
205,0.000000,0.991698,-0.846020,0.000000,0.995965,-0.823586,0.000000,0.036635,0.078455
206,0.000000,0.355636,7.135028,0.000000,0.356582,7.167783,0.000000,0.034879,0.188021
207,0.000000,-0.273000,4.293177,0.000000,-0.274499,4.332645,0.000000,0.037992,0.190711
208,0.000000,0.183485,8.962748,0.000000,0.259072,8.314648,0.000000,0.135261,1.048035
209,0.000000,0.313808,4.131284,0.000000,0.329504,4.275743,0.000000,0.032283,0.282396
210,0.000000,-0.718628,-6.104866,0.000000,-0.714280,-6.060427,0.000000,0.033245,0.291875
211,0.000000,-0.580296,-0.448032,0.000000,-0.577958,-0.372439,0.000000,0.029678,0.340676
212,0.000000,0.435631,-8.142992,0.000000,0.427983,-8.154880,0.000000,0.046323,0.252682
213,0.000000,-0.094651,6.732852,0.000000,-0.098157,6.754742,0.000000,0.030471,0.209130
214,0.000000,0.592083,7.368739,0.000000,0.596376,7.404237,0.000000,0.037956,0.152077
215,0.000000,0.709395,-8.593185,0.000000,0.711733,-8.561792,0.000000,0.027230,0.075179
216,0.000000,0.290181,1.318526,0.000000,0.282484,1.328689,0.000000,0.057971,0.087361
217,0.000000,0.630249,-4.247971,0.000000,0.697554,-3.704568,0.000000,0.134005,0.953154
218,0.000000,0.058455,0.804243,0.000000,0.050897,0.773747,0.000000,0.022670,0.164095
219,0.000000,-0.309250,6.680677,0.000000,-0.321184,6.743018,0.000000,0.122110,1.037087
220,0.000000,0.291747,2.830377,0.000000,0.289648,2.841903,0.000000,0.024403,0.110396
221,0.000000,-0.575615,-1.999958,0.000000,-0.583416,-2.047291,0.000000,0.031291,0.299134
