rep,id,p0,alpha,tau
4,25,0.186457,0.020064,70.731339
5,25,0.186457,0.020479,70.950840
6,25,0.186457,0.019909,70.433667
7,25,0.186457,0.021017,70.842795
8,25,0.186457,0.019201,70.779516
9,25,0.186457,0.018305,70.111096
10,25,0.186457,0.019147,70.013571
1,26,0.186457,0.044488,73.111498
2,26,0.186457,0.041511,73.551060
3,26,0.186457,0.041237,73.263510
4,26,0.186457,0.044326,73.247074
5,26,0.186457,0.049310,73.247074
6,26,0.186457,0.050731,73.383210
7,26,0.186457,0.063029,73.011829
8,26,0.186457,0.058670,73.100230
9,26,0.186457,0.066860,73.060236
10,26,0.186457,0.066138,72.832799
1,27,0.186457,0.019980,63.885435
2,27,0.186457,0.020247,64.300001
3,27,0.186457,0.020247,64.133358
4,27,0.186457,0.020247,64.343844
5,27,0.186457,0.020120,64.276704
6,27,0.186457,0.019579,64.142245
7,27,0.186457,0.019361,63.912737
8,27,0.186457,0.019700,64.024563
9,27,0.186457,0.020492,64.140604
10,27,0.186457,0.020492,64.211291
1,28,0.186457,0.035181,69.332302
2,28,0.186457,0.035181,69.332302
3,28,0.186457,0.035181,69.332302
4,28,0.186457,0.034980,69.332302
5,28,0.186457,0.035355,69.380273
6,28,0.186457,0.035085,69.380273
7,28,0.186457,0.035085,69.380273
8,28,0.186457,0.034684,69.187181
9,28,0.186457,0.036371,69.332560
10,28,0.186457,0.035183,69.332560
1,29,0.186215,0.049741,76.445568
2,29,0.186215,0.050696,76.445568
3,29,0.186215,0.050696,76.445568
4,29,0.186215,0.050696,76.445568
5,29,0.186215,0.048902,76.356849
6,29,0.186215,0.048902,76.292109
7,29,0.186215,0.048902,76.410868
8,29,0.186215,0.049786,76.410868
9,29,0.186215,0.051813,76.410868
10,29,0.186215,0.051206,76.410868
1,30,0.185522,0.017038,62.334303
2,30,0.185522,0.017038,62.334303
3,30,0.185522,0.017038,62.334303
4,30,0.185522,0.017038,62.334303
5,30,0.185522,0.017356,62.334303
6,30,0.185522,0.017573,62.337775
7,30,0.185522,0.017573,62.457905
8,30,0.185522,0.018247,63.188057
9,30,0.185522,0.018247,63.188057
10,30,0.185522,0.018247,63.188057
1,31,0.186457,0.043808,62.040309
2,31,0.186457,0.043808,62.040309
3,31,0.186457,0.043012,62.068380
4,31,0.186457,0.043012,62.068380
