id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
172,0.186634,0.022739,66.677704,0.186237,0.022468,66.623575,0.000000,0.000942,0.188648
173,0.186146,0.048046,64.049529,0.186473,0.049000,64.156837,0.000000,0.001201,0.123813
174,0.186525,0.010675,63.335773,0.187334,0.010645,63.336478,0.000000,0.000415,0.407700
175,0.186455,0.016371,63.905280,0.186613,0.016415,63.908661,0.000000,0.000379,0.288035
176,0.186295,0.027675,61.645761,0.186554,0.028077,61.740117,0.000000,0.000716,0.190927
177,0.186431,0.058088,77.422923,0.186457,0.048763,78.493656,0.000000,0.018782,3.447754
178,0.186486,0.028713,78.040937,0.186462,0.029233,78.198206,0.000000,0.001805,0.490020
179,0.186368,0.034280,64.323529,0.186631,0.034478,64.341310,0.000000,0.000746,0.198313
180,0.186468,0.026235,58.805577,0.186387,0.026364,58.813488,0.000000,0.000840,0.150871
181,0.186352,0.060737,70.494424,0.186672,0.060931,70.517402,0.000000,0.001582,0.151293
182,0.186505,0.010092,57.616905,0.186581,0.010001,57.534935,0.000000,0.000473,0.537283
183,0.186420,0.019324,66.785933,0.186504,0.019258,66.769665,0.000000,0.001238,0.457848
184,0.186410,0.027241,66.498160,0.186335,0.027153,66.472965,0.000000,0.000553,0.212712
185,0.186499,0.049338,72.154384,0.185813,0.049189,72.131449,0.000000,0.001079,0.118803
186,0.186445,0.030130,67.228267,0.186430,0.030085,67.205780,0.000000,0.001115,0.194384
187,0.186421,0.082530,61.615019,0.185842,0.082715,61.627434,0.000000,0.003640,0.195147
188,0.186422,0.030845,72.482519,0.186468,0.030937,72.500142,0.000000,0.001046,0.273292
189,0.186412,0.013189,64.832896,0.186629,0.013390,64.937735,0.000000,0.000871,0.444699
190,0.186447,0.063985,70.245669,0.186443,0.064263,70.263764,0.000000,0.001307,0.100896
191,0.186399,0.023185,67.291202,0.186570,0.023081,67.271999,0.000000,0.000634,0.215504
192,0.186466,0.038126,56.723199,0.186270,0.038652,56.806706,0.000000,0.001305,0.186783
193,0.186402,0.014204,80.652111,0.186805,0.013982,80.742728,0.000000,0.000879,0.394977
194,0.186478,0.035633,65.405362,0.186552,0.035495,65.376769,0.000000,0.000922,0.173713
195,0.186367,0.027130,63.780107,0.186772,0.027064,63.747245,0.000000,0.000609,0.234357
196,0.186504,0.035180,62.662986,0.185751,0.035174,62.688228,0.000000,0.001350,0.379944
197,0.186451,0.040871,69.961025,0.186424,0.040992,69.960343,0.000000,0.001778,0.100553
198,0.186429,0.095490,71.867242,0.186780,0.096434,71.840097,0.000000,0.008027,0.321032
199,0.186497,0.036507,62.525471,0.186732,0.036403,62.518482,0.000000,0.000638,0.159076
200,0.186493,0.017499,61.533955,0.186411,0.017489,61.534702,0.000000,0.000410,0.354366
