rep,id,eta_p0,eta_alpha,eta_tau
5,22,0.000000,-0.984163,1.866502
6,22,0.000000,-1.017640,2.403618
7,22,0.000000,-0.936808,2.237467
8,22,0.000000,-1.107234,2.194193
9,22,0.000000,-0.954173,1.798054
10,22,0.000000,-1.028971,2.671592
1,23,0.000000,-0.263824,-2.860030
2,23,0.000000,-0.263824,-2.860030
3,23,0.000000,-0.263824,-2.860030
4,23,0.000000,-0.263824,-3.175087
5,23,0.000000,-0.263824,-3.161865
6,23,0.000000,-0.257647,-2.998031
7,23,0.000000,-0.271835,-2.889064
8,23,0.000000,-0.271835,-2.889064
9,23,0.000000,-0.271835,-2.889064
10,23,0.000000,-0.287169,-3.187143
1,24,0.000000,-1.140726,0.569604
2,24,0.000000,-1.071364,0.254608
3,24,0.000000,-1.113506,0.259308
4,24,0.000000,-1.147849,0.154080
5,24,0.000000,-1.136645,1.406714
6,24,0.000000,-1.153044,0.752143
7,24,0.000000,-1.100926,0.065101
8,24,0.000000,-1.111130,0.691348
9,24,0.000000,-1.131307,0.849898
10,24,0.000000,-1.211915,0.003624
1,25,0.000000,-0.129080,3.439347
2,25,0.000000,-0.251867,3.142484
3,25,0.000000,-0.281427,3.008535
4,25,0.000000,-0.283468,2.774064
5,25,0.000000,-0.324761,3.170353
6,25,0.000000,-0.320052,2.880484
7,25,0.000000,-0.282734,3.083513
8,25,0.000000,-0.223983,3.083513
9,25,0.000000,-0.218064,3.205758
10,25,0.000000,-0.266978,3.177796
1,26,0.000000,0.808790,5.892666
2,26,0.000000,0.795387,5.892666
3,26,0.000000,0.712712,6.286615
4,26,0.000000,0.424409,6.226806
5,26,0.000000,0.574283,6.226806
6,26,0.000000,0.582427,6.509457
7,26,0.000000,0.532905,6.556421
8,26,0.000000,0.416706,6.163329
9,26,0.000000,0.398296,6.162795
10,26,0.000000,0.458100,6.162795
1,27,0.000000,-0.334672,-3.564827
2,27,0.000000,-0.334672,-4.287424
3,27,0.000000,-0.328293,-3.914744
4,27,0.000000,-0.328293,-4.036106
5,27,0.000000,-0.328293,-3.670254
6,27,0.000000,-0.328293,-3.670254
7,27,0.000000,-0.328293,-3.670254
8,27,0.000000,-0.307347,-3.540898
9,27,0.000000,-0.307347,-3.604164
10,27,0.000000,-0.307347,-3.826823
1,28,0.000000,0.230782,1.649259
2,28,0.000000,0.226124,1.772263
3,28,0.000000,0.288378,2.041740
4,28,0.000000,0.227901,1.776109
5,28,0.000000,0.227901,1.776109
6,28,0.000000,0.271388,2.176441
7,28,0.000000,0.271388,2.176441
8,28,0.000000,0.277962,2.225743
9,28,0.000000,0.260988,2.225743
10,28,0.000000,0.260988,2.225743
1,29,0.000000,0.675186,9.688434
2,29,0.000000,0.675186,9.601063
3,29,0.000000,0.675186,9.601063
4,29,0.000000,0.674520,9.716755
5,29,0.000000,0.674520,9.606509
6,29,0.000000,0.623631,9.402834
7,29,0.000000,0.615303,9.412470
8,29,0.000000,0.615303,9.412470
9,29,0.000000,0.615303,9.412470
10,29,0.000000,0.615303,9.412470
1,30,0.000000,-0.438811,-5.076429
2,30,0.000000,-0.438811,-5.076429
3,30,0.000000,-0.438811,-5.228000
4,30,0.000000,-0.438811,-5.247266
5,30,0.000000,-0.438811,-5.074929
6,30,0.000000,-0.457774,-5.337512
7,30,0.000000,-0.457774,-5.337512
8,30,0.000000,-0.454066,-5.555922
9,30,0.000000,-0.454066,-5.555922
10,30,0.000000,-0.454066,-5.384140
1,31,0.000000,0.503821,-4.907748
2,31,0.000000,0.503821,-4.907748
3,31,0.000000,0.509102,-4.907748
4,31,0.000000,0.476478,-4.907748
5,31,0.000000,0.505218,-4.874611
6,31,0.000000,0.479145,-4.971667
7,31,0.000000,0.477020,-4.971667
8,31,0.000000,0.502611,-4.971667
9,31,0.000000,0.450602,-4.839090
10,31,0.000000,0.496710,-4.922055
1,32,0.000000,0.406423,3.198653
2,32,0.000000,0.369030,3.009610
3,32,0.000000,0.369030,3.009610
4,32,0.000000,0.343881,2.631803
5,32,0.000000,0.381558,2.992977
6,32,0.000000,0.372207,2.654581
7,32,0.000000,0.372207,2.654581
8,32,0.000000,0.370599,2.978797
9,32,0.000000,0.370599,2.978797
10,32,0.000000,0.340547,3.014816
1,33,0.000000,-0.134480,1.842294
2,33,0.000000,-0.277363,1.036602
3,33,0.000000,-0.261270,1.447540
4,33,0.000000,-0.233154,1.809480
5,33,0.000000,-0.238900,1.581771
6,33,0.000000,-0.114909,1.988607
7,33,0.000000,-0.243749,2.155748
8,33,0.000000,-0.185554,1.656920
9,33,0.000000,-0.194090,1.548127
10,33,0.000000,-0.264358,1.385422
1,34,0.000000,0.160907,-3.560328
2,34,0.000000,0.160907,-3.560328
3,34,0.000000,0.147078,-3.633695
4,34,0.000000,0.147078,-3.633695
5,34,0.000000,0.147078,-3.633695
6,34,0.000000,0.147078,-3.589791
7,34,0.000000,0.147078,-3.589791
8,34,0.000000,0.147078,-3.607435
9,34,0.000000,0.133639,-3.607435
10,34,0.000000,0.145977,-3.607435
1,35,0.000000,0.140380,3.227961
2,35,0.000000,0.133259,3.227961
3,35,0.000000,0.150311,3.201441
4,35,0.000000,0.137786,3.242185
5,35,0.000000,0.137786,3.242185
6,35,0.000000,0.155789,3.242185
7,35,0.000000,0.144243,3.310425
8,35,0.000000,0.128691,3.372890
9,35,0.000000,0.128691,3.372890
10,35,0.000000,0.091315,3.193549
1,36,0.000000,-0.022827,-2.835256
2,36,0.000000,-0.052775,-2.835256
3,36,0.000000,-0.039792,-2.875317
4,36,0.000000,-0.063260,-2.875317
5,36,0.000000,-0.063260,-2.780883
6,36,0.000000,-0.063260,-2.780883
7,36,0.000000,-0.026813,-3.184504
8,36,0.000000,-0.047283,-3.125812
9,36,0.000000,-0.047283,-3.125812
10,36,0.000000,-0.024421,-2.950850
1,37,0.000000,-0.319510,-8.168095
2,37,0.000000,-0.310488,-7.935765
3,37,0.000000,-0.310488,-7.935765
4,37,0.000000,-0.310488,-7.935765
5,37,0.000000,-0.310488,-7.937045
6,37,0.000000,-0.310488,-7.937045
7,37,0.000000,-0.310488,-7.944840
8,37,0.000000,-0.310488,-7.944840
9,37,0.000000,-0.311498,-8.074417
10,37,0.000000,-0.315138,-8.325671
1,38,0.000000,0.600899,-2.266153
2,38,0.000000,0.610167,-1.596247
3,38,0.000000,0.669316,-1.078098
4,38,0.000000,0.655747,-1.343977
5,38,0.000000,0.655747,-1.734015
6,38,0.000000,0.621837,-1.453770
7,38,0.000000,0.593954,-1.808329
8,38,0.000000,0.650267,-1.650968
9,38,0.000000,0.678855,-1.419536
10,38,0.000000,0.613222,-2.085316
1,39,0.000000,-0.064397,1.235056
