rep,id,p0,alpha,tau
3,25,0.164594,0.018561,69.575048
4,25,0.164594,0.018524,69.340578
5,25,0.164594,0.017774,69.736866
6,25,0.164594,0.017858,69.446998
7,25,0.164594,0.018537,69.650026
8,25,0.164594,0.019659,69.650026
9,25,0.164594,0.019776,69.772271
10,25,0.164594,0.018832,69.744309
1,26,0.164594,0.055219,72.459180
2,26,0.164594,0.054484,72.459180
3,26,0.164594,0.050160,72.853128
4,26,0.164594,0.037597,72.793320
5,26,0.164594,0.043676,72.793320
6,26,0.164594,0.044033,73.075970
7,26,0.164594,0.041906,73.122934
8,26,0.164594,0.037308,72.729843
9,26,0.164594,0.036628,72.729309
10,26,0.164594,0.038885,72.729309
1,27,0.164594,0.017599,63.001686
2,27,0.164594,0.017599,62.279089
3,27,0.164594,0.017712,62.651769
4,27,0.164594,0.017712,62.530407
5,27,0.164594,0.017712,62.896259
6,27,0.164594,0.017712,62.896259
7,27,0.164594,0.017712,62.896259
8,27,0.164594,0.018087,63.025615
9,27,0.164594,0.018087,62.962350
10,27,0.164594,0.018087,62.739691
1,28,0.164594,0.030979,68.215773
2,28,0.164594,0.030835,68.338777
3,28,0.164594,0.032815,68.608253
4,28,0.164594,0.030889,68.342622
5,28,0.164594,0.030889,68.342622
6,28,0.164594,0.032262,68.742955
7,28,0.164594,0.032262,68.742955
8,28,0.164594,0.032475,68.792257
9,28,0.164594,0.031929,68.792257
10,28,0.164594,0.031929,68.792257
1,29,0.164594,0.048313,76.254947
2,29,0.164594,0.048313,76.167576
3,29,0.164594,0.048313,76.167576
4,29,0.164594,0.048281,76.283268
5,29,0.164594,0.048281,76.173022
6,29,0.164594,0.045885,75.969348
7,29,0.164594,0.045505,75.978984
8,29,0.164594,0.045505,75.978984
9,29,0.164594,0.045505,75.978984
10,29,0.164594,0.045505,75.978984
1,30,0.164594,0.015858,61.490085
2,30,0.164594,0.015858,61.490085
3,30,0.164594,0.015858,61.338513
4,30,0.164594,0.015858,61.319247
5,30,0.164594,0.015858,61.491585
6,30,0.164594,0.015561,61.229002
7,30,0.164594,0.015561,61.229002
8,30,0.164594,0.015618,61.010591
9,30,0.164594,0.015618,61.010591
10,30,0.164594,0.015618,61.182374
1,31,0.164594,0.040704,61.658765
2,31,0.164594,0.040704,61.658765
3,31,0.164594,0.040920,61.658765
4,31,0.164594,0.039606,61.658765
5,31,0.164594,0.040761,61.691902
6,31,0.164594,0.039712,61.594846
7,31,0.164594,0.039628,61.594846
8,31,0.164594,0.040655,61.594846
9,31,0.164594,0.038595,61.727424
10,31,0.164594,0.040416,61.644459
1,32,0.164594,0.036927,69.765167
2,32,0.164594,0.035571,69.576123
3,32,0.164594,0.035571,69.576123
4,32,0.164594,0.034688,69.198316
5,32,0.164594,0.036020,69.559491
6,32,0.164594,0.035685,69.221095
7,32,0.164594,0.035685,69.221095
8,32,0.164594,0.035627,69.545311
9,32,0.164594,0.035627,69.545311
10,32,0.164594,0.034573,69.581329
1,33,0.164594,0.021500,68.408807
2,33,0.164594,0.018637,67.603115
3,33,0.164594,0.018939,68.014054
4,33,0.164594,0.019479,68.375993
5,33,0.164594,0.019368,68.148285
6,33,0.164594,0.021925,68.555120
7,33,0.164594,0.019274,68.722261
8,33,0.164594,0.020429,68.223433
9,33,0.164594,0.020255,68.114640
10,33,0.164594,0.018881,67.951935
1,34,0.164594,0.028888,63.006185
2,34,0.164594,0.028888,63.006185
3,34,0.164594,0.028491,62.932818
4,34,0.164594,0.028491,62.932818
5,34,0.164594,0.028491,62.932818
6,34,0.164594,0.028491,62.976722
7,34,0.164594,0.028491,62.976722
8,34,0.164594,0.028491,62.959078
9,34,0.164594,0.028111,62.959078
10,34,0.164594,0.028460,62.959078
1,35,0.164594,0.028301,69.794474
2,35,0.164594,0.028100,69.794474
3,35,0.164594,0.028583,69.767954
4,35,0.164594,0.028228,69.808698
5,35,0.164594,0.028228,69.808698
6,35,0.164594,0.028740,69.808698
7,35,0.164594,0.028410,69.876938
8,35,0.164594,0.027972,69.939403
9,35,0.164594,0.027972,69.939403
10,35,0.164594,0.026946,69.760063
1,36,0.164594,0.024039,63.731257
2,36,0.164594,0.023330,63.731257
3,36,0.164594,0.023635,63.691196
4,36,0.164594,0.023087,63.691196
5,36,0.164594,0.023087,63.785631
6,36,0.164594,0.023087,63.785631
7,36,0.164594,0.023944,63.382009
8,36,0.164594,0.023458,63.440701
9,36,0.164594,0.023458,63.440701
10,36,0.164594,0.024001,63.615663
1,37,0.164594,0.017868,58.398418
2,37,0.164594,0.018030,58.630749
3,37,0.164594,0.018030,58.630749
4,37,0.164594,0.018030,58.630749
5,37,0.164594,0.018030,58.629469
6,37,0.164594,0.018030,58.629469
7,37,0.164594,0.018030,58.621674
8,37,0.164594,0.018030,58.621674
9,37,0.164594,0.018012,58.492096
10,37,0.164594,0.017946,58.240842
1,38,0.164594,0.044854,64.300360
2,38,0.164594,0.045272,64.970266
3,38,0.164594,0.048030,65.488415
4,38,0.164594,0.047383,65.222536
5,38,0.164594,0.047383,64.832499
6,38,0.164594,0.045803,65.112743
7,38,0.164594,0.044544,64.758184
8,38,0.164594,0.047124,64.915546
9,38,0.164594,0.048491,65.146977
10,38,0.164594,0.045410,64.481197
1,39,0.164594,0.023060,67.801570
2,39,0.164594,0.023060,67.950255
3,39,0.164594,0.023073,67.888953
4,39,0.164594,0.023042,67.888953
5,39,0.164594,0.022161,67.888953
6,39,0.164594,0.022161,67.777192
7,39,0.164594,0.022161,67.663041
8,39,0.164594,0.023554,68.551764
9,39,0.164594,0.022560,68.488616
10,39,0.164594,0.023153,68.053268
1,40,0.164594,0.045400,62.602835
2,40,0.164594,0.044554,62.559427
3,40,0.164594,0.044554,62.701115
4,40,0.164594,0.044554,62.701115
5,40,0.164594,0.045801,62.701115
6,40,0.164594,0.045801,62.701115
7,40,0.164594,0.044273,62.683929
8,40,0.164594,0.044227,62.579798
9,40,0.164594,0.044227,62.579798
10,40,0.164594,0.044871,62.732200
1,41,0.164594,0.017033,63.730456
2,41,0.164594,0.017033,63.752822
3,41,0.164594,0.016121,63.326615
4,41,0.164594,0.016912,63.652833
5,41,0.164594,0.017006,63.452095
6,41,0.164594,0.016983,63.452095
7,41,0.164594,0.016983,63.901779
8,41,0.164594,0.017398,63.811604
9,41,0.164594,0.017233,63.811604
10,41,0.164594,0.017421,64.043822
1,42,0.164594,0.060281,67.720753
2,42,0.164594,0.060201,67.587739
3,42,0.164594,0.060201,67.587739
4,42,0.164594,0.061648,67.718464
5,42,0.164594,0.060532,67.664938
6,42,0.164594,0.061187,67.667440
7,42,0.164594,0.061187,67.667440
8,42,0.164594,0.062206,67.667440
9,42,0.164594,0.062206,67.667440
10,42,0.164594,0.062206,67.667440
1,43,0.164594,0.040340,69.079214
2,43,0.164594,0.040340,69.079214
3,43,0.164594,0.040399,69.102457
4,43,0.164594,0.040399,68.993993
5,43,0.164594,0.040399,69.047087
6,43,0.164594,0.038473,69.054200
7,43,0.164594,0.038473,68.843864
8,43,0.164594,0.038473,68.863964
9,43,0.164594,0.037385,68.852018
10,43,0.164594,0.039054,68.852018
1,44,0.164594,0.028037,56.667456
2,44,0.164594,0.028037,56.667456
3,44,0.164594,0.028037,56.667456
4,44,0.164594,0.028037,56.667456
5,44,0.164594,0.027742,56.453369
6,44,0.164594,0.027742,56.453369
7,44,0.164594,0.027742,56.453369
8,44,0.164594,0.027742,56.453369
9,44,0.164594,0.027742,56.451113
10,44,0.164594,0.028067,56.545572
1,45,0.164594,0.038966,68.532315
2,45,0.164594,0.038966,68.532315
3,45,0.164594,0.039692,68.532315
4,45,0.164594,0.038798,68.306656
5,45,0.164594,0.038798,68.539091
6,45,0.164594,0.040389,68.704655
7,45,0.164594,0.040389,68.704655
8,45,0.164594,0.038035,68.365251
9,45,0.164594,0.038035,68.365251
10,45,0.164594,0.038035,68.228741
1,46,0.164594,0.029201,63.890963
2,46,0.164594,0.028670,63.610293
3,46,0.164594,0.029491,64.115490
4,46,0.164594,0.028991,64.115490
5,46,0.164594,0.028991,64.115490
6,46,0.164594,0.029157,63.905253
7,46,0.164594,0.028845,63.905253
8,46,0.164594,0.028394,63.846462
9,46,0.164594,0.028394,63.704954
10,46,0.164594,0.028394,63.704954
1,47,0.164594,0.037427,68.341204
2,47,0.164594,0.038747,68.505324
3,47,0.164594,0.038747,68.524183
4,47,0.164594,0.038747,68.524183
5,47,0.164594,0.038747,68.524183
6,47,0.164594,0.038298,68.358172
7,47,0.164594,0.037846,68.459593
8,47,0.164594,0.038967,68.595874
9,47,0.164594,0.038967,68.595874
10,47,0.164594,0.038351,68.448136
1,48,0.164594,0.017573,69.268090
2,48,0.164594,0.017163,69.268090
3,48,0.164594,0.017857,69.330854
4,48,0.164594,0.017857,69.330854
5,48,0.164594,0.017857,69.330854
6,48,0.164594,0.017473,69.233412
7,48,0.164594,0.017473,69.233412
8,48,0.164594,0.017448,69.051223
9,48,0.164594,0.017448,69.284765
10,48,0.164594,0.017448,69.248089
1,49,0.164594,0.036211,72.138270
2,49,0.164594,0.032713,71.865453
3,49,0.164594,0.032038,71.865453
4,49,0.164594,0.035884,72.093889
5,49,0.164594,0.037121,72.236283
6,49,0.164594,0.036908,72.291032
7,49,0.164594,0.039090,72.291032
8,49,0.164594,0.039617,72.291032
9,49,0.164594,0.036531,72.291032
10,49,0.164594,0.037118,71.968781
1,50,0.164594,0.043243,69.095413
2,50,0.164594,0.043243,69.095413
3,50,0.164594,0.043243,69.033891
4,50,0.164594,0.043243,69.033891
5,50,0.164594,0.043243,69.033891
6,50,0.164594,0.042954,69.033891
7,50,0.164594,0.042954,69.033891
8,50,0.164594,0.042954,69.033891
9,50,0.164594,0.044196,69.228862
10,50,0.164594,0.044196,69.201734
1,51,0.164594,0.026206,64.431453
2,51,0.164594,0.026206,64.362168
3,51,0.164594,0.025938,64.362168
4,51,0.164594,0.026320,64.362168
5,51,0.164594,0.026320,64.362168
6,51,0.164594,0.026320,64.362168
7,51,0.164594,0.026320,64.459315
8,51,0.164594,0.026337,64.472152
9,51,0.164594,0.026337,64.472152
10,51,0.164594,0.026379,64.472152
1,52,0.164594,0.037539,63.802243
2,52,0.164594,0.037200,63.802243
3,52,0.164594,0.037145,63.802243
4,52,0.164594,0.037145,63.802243
5,52,0.164594,0.037145,63.802243
6,52,0.164594,0.037335,63.707131
7,52,0.164594,0.036318,63.707131
8,52,0.164594,0.037267,63.739482
9,52,0.164594,0.037374,63.739482
10,52,0.164594,0.037374,63.852806
1,53,0.164594,0.034883,63.475473
2,53,0.164594,0.036198,63.789001
3,53,0.164594,0.036198,63.924405
4,53,0.164594,0.038427,64.296878
5,53,0.164594,0.036693,63.488275
6,53,0.164594,0.035201,63.488275
7,53,0.164594,0.035669,63.515627
8,53,0.164594,0.035669,63.515627
9,53,0.164594,0.035217,63.386479
10,53,0.164594,0.035217,63.415532
1,54,0.164594,0.024637,69.688056
2,54,0.164594,0.023755,69.341440
3,54,0.164594,0.023755,69.341440
4,54,0.164594,0.022954,69.341440
5,54,0.164594,0.022963,69.541103
6,54,0.164594,0.022957,69.291815
