Tlag%V_abscissa,Tlag%V_spline,Tlag%V_regression,Tlag%ka_abscissa,Tlag%ka_spline,Tlag%ka_regression,V%Tlag_abscissa,V%Tlag_spline,V%Tlag_regression,V%ka_abscissa,V%ka_spline,V%ka_regression,ka%Tlag_abscissa,ka%Tlag_spline,ka%Tlag_regression,ka%V_abscissa,ka%V_spline,ka%V_regression
-0.582562,0.666339,0.377211,-0.114603,0.243174,0.487605,-2.87507,0.0234709,0.0426361,-0.114603,0.0838828,0.015268,-2.87507,0.107865,0.14109,-0.582562,-0.114312,-0.0525734
-0.557656,0.67178,0.375286,-0.0794708,0.283894,0.460429,-2.60406,0.0286571,0.0424107,-0.0794708,0.126243,0.0195035,-2.60406,0.11638,0.136794,-0.557656,-0.0812901,-0.0468575
-0.532749,0.67722,0.373361,-0.0443386,0.329897,0.433252,-2.33304,0.0346047,0.0421852,-0.0443386,0.163921,0.023739,-2.33304,0.125317,0.132497,-0.532749,-0.0482681,-0.0411416
-0.507843,0.680535,0.371437,-0.00920646,0.380917,0.406075,-2.06203,0.0422665,0.0419597,-0.00920646,0.195666,0.0279746,-2.06203,0.134614,0.128201,-0.507843,-0.0164149,-0.0354257
-0.482937,0.677183,0.369512,0.0259257,0.435505,0.378899,-1.79102,0.050089,0.0417343,0.0259257,0.221248,0.0322101,-1.79102,0.143883,0.123905,-0.482937,0.0116481,-0.0297098
-0.458031,0.673831,0.367588,0.0610579,0.491516,0.351722,-1.52,0.0579527,0.0415088,0.0610579,0.243938,0.0364457,-1.52,0.152539,0.119609,-0.458031,0.039711,-0.0239939
-0.433124,0.670479,0.365663,0.09619,0.549681,0.324545,-1.24899,0.0656759,0.0412834,0.09619,0.261322,0.0406812,-1.24899,0.160202,0.115312,-0.433124,0.067774,-0.018278
-0.408218,0.656911,0.363738,0.131322,0.609131,0.297368,-0.977979,0.0721077,0.0410579,0.131322,0.273996,0.0449167,-0.977979,0.165591,0.111016,-0.408218,0.0890902,-0.0125621
-0.383312,0.642577,0.361814,0.166454,0.668663,0.270192,-0.706966,0.0780086,0.0408325,0.166454,0.285765,0.0491523,-0.706966,0.170145,0.10672,-0.383312,0.1099,-0.0068462
-0.358405,0.628243,0.359889,0.201586,0.728325,0.243015,-0.435954,0.0808567,0.040607,0.201586,0.292557,0.0533878,-0.435954,0.170425,0.102424,-0.358405,0.130711,-0.0011303
