iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_alpha,estimate_omega_beta,estimate_omega_ka
75,107.866,1,0.0429785,199.498,0.238124,11.4816,0.200963,0.72656,0.764216,0.549792,0.328704,0.2956,1.04391
76,115.055,1,0.0456112,203.87,0.24078,11.483,0.200923,0.750814,0.762385,0.59118,0.320381,0.302319,1.035
77,104.96,1,0.0511254,206.352,0.235438,11.5218,0.197027,0.823284,0.743081,0.576211,0.312269,0.294664,1.00879
78,111.843,1,0.0440534,200.508,0.240694,11.4457,0.202047,0.793951,0.757857,0.572562,0.304362,0.287203,0.99176
79,105.855,1,0.0393822,205.288,0.23888,11.6226,0.207519,0.834257,0.801014,0.558064,0.296655,0.279931,0.966648
80,109.44,1,0.0341736,189.367,0.238167,11.8109,0.196515,0.799781,0.856565,0.546951,0.289144,0.289992,0.949707
81,106.667,1,0.034732,183.027,0.238774,12.1411,0.200002,0.688038,0.834876,0.533102,0.309394,0.28265,0.92566
82,109.663,1,0.0355051,185.228,0.2358,12.3504,0.190555,0.740628,1.03123,0.519603,0.30156,0.276994,0.995993
83,106.12,1,0.0386061,197.143,0.240484,12.544,0.184123,0.785845,1.00512,0.580373,0.293925,0.26998,0.970774
84,115.727,1,0.0274318,200.48,0.241028,12.6719,0.182287,0.755468,0.979672,0.606185,0.302151,0.263144,0.984426
85,112.199,1,0.0263697,201.002,0.236426,12.4443,0.180873,0.815973,1.01363,0.619052,0.2945,0.256481,0.9595
86,108.143,1,0.0309153,201.217,0.238997,12.9182,0.181235,0.771522,0.987963,0.610954,0.287043,0.249987,0.935204
87,116.886,1,0.0338653,200.058,0.242008,13.0011,0.173966,0.745217,1.0263,0.595484,0.287124,0.25501,0.951331
88,113.239,1,0.0348718,194.316,0.237162,13.8155,0.172001,0.805548,1.00031,0.580406,0.3191,0.264824,0.927243
89,108.179,1,0.0415849,200.182,0.234906,13.8522,0.166783,0.748165,0.974984,0.611392,0.31102,0.263842,0.931511
90,113.716,1,0.0377151,190.127,0.237507,14.1334,0.168904,0.793637,0.976103,0.602491,0.315639,0.27316,0.907925
91,113.667,1,0.0390844,187.898,0.242826,13.8145,0.168973,0.700585,0.951387,0.58927,0.307647,0.266244,0.884936
92,117.654,1,0.033751,186.508,0.24207,14.1646,0.171556,0.71293,0.978095,0.602738,0.331961,0.259502,0.945822
93,117.67,1,0.0234375,193.297,0.245126,13.6919,0.168994,0.689717,0.953329,0.587476,0.35012,0.252931,1.00468
94,120.953,1,0.0234379,204.71,0.240475,13.8461,0.175052,0.766469,0.998564,0.621674,0.341254,0.276576,0.979241
95,113.971,1,0.0219157,198.508,0.238298,14.0494,0.172957,0.752807,0.97328,0.641975,0.332614,0.269573,0.974974
96,119.213,1,0.0249644,202.308,0.243801,13.3531,0.165996,0.725626,0.948636,0.647822,0.324192,0.278403,0.950287
97,126.802,1,0.0256669,212.527,0.245283,13.6734,0.169325,0.767248,0.970719,0.676777,0.350313,0.275445,0.926225
98,114.516,1,0.0271137,195.288,0.239324,13.7196,0.169774,0.680516,0.94614,0.659641,0.341443,0.26847,0.902773
99,122.028,1,0.0263055,177.929,0.243213,13.8078,0.171817,0.63948,0.941145,0.642938,0.362251,0.261673,0.913516
100,116.499,1,0.0295769,183.54,0.239667,13.213,0.164254,0.641154,0.959804,0.626659,0.353079,0.255047,0.920952
101,114.34,1,0.0291266,187.318,0.23769,13.874,0.166437,0.76122,0.935502,0.610791,0.385275,0.248589,0.897633
102,114.536,1,0.0238616,212.615,0.24725,13.7342,0.166609,0.74284,0.911814,0.615318,0.37552,0.242295,0.874904
103,117.727,1,0.0227055,192.772,0.245262,13.5031,0.178518,0.67824,0.954203,0.636907,0.366011,0.23616,0.852751
104,122.075,1,0.0242349,202.409,0.246244,13.59,0.17815,0.754849,0.957886,0.671305,0.356744,0.23018,0.896741
105,114.761,1,0.0206758,199.095,0.24435,13.3028,0.178629,0.70293,0.933631,0.654307,0.347711,0.224352,0.874035
106,123.799,1,0.0197144,184.694,0.243574,13.8718,0.168527,0.61447,0.975362,0.653043,0.389536,0.253007,0.851904
107,112.385,1,0.0204528,193.602,0.237406,14.421,0.171117,0.665989,0.982688,0.636508,0.386387,0.246601,0.830333
108,113.957,1,0.0186088,191.676,0.240696,14.2346,0.169368,0.649134,1.10031,0.620391,0.376604,0.240356,0.83039
109,116.098,1,0.0198557,182.773,0.247488,14.3583,0.173009,0.565255,1.07245,0.604682,0.367068,0.23427,0.809364
110,120.585,1,0.0259348,187.464,0.246145,15.1187,0.173536,0.595807,1.0453,0.643562,0.381256,0.228339,0.78887
111,112.136,1,0.0270296,186.65,0.243608,14.4164,0.174015,0.696017,1.01883,0.634951,0.371602,0.222557,0.828288
112,119.591,1,0.0218433,194.069,0.247417,13.7518,0.178209,0.763471,1.11576,0.618873,0.362193,0.216922,0.807315
