rep,id,ka,V,k
4,61,0.922221,7.975819,0.280753
5,61,1.466951,8.755196,0.270341
6,61,1.995515,9.224398,0.247884
7,61,1.168927,8.148462,0.310998
1,62,2.645231,7.168687,0.213797
2,62,1.196827,6.394966,0.257792
3,62,1.955343,6.487527,0.222510
4,62,1.284816,6.133983,0.206514
5,62,1.287627,6.917353,0.223882
6,62,1.405526,6.727609,0.227874
7,62,1.446555,6.993658,0.236022
1,63,3.337367,7.072597,0.319047
2,63,1.580193,6.990517,0.364245
3,63,2.503480,7.774500,0.326940
4,63,1.636087,7.316744,0.353819
5,63,1.985698,7.682651,0.323752
6,63,2.226142,7.745357,0.314491
7,63,1.946619,5.797572,0.377251
1,64,0.610685,8.045180,0.244190
2,64,0.709287,7.318858,0.232074
3,64,0.549066,8.424677,0.238629
4,64,0.706110,8.799438,0.230196
5,64,0.590234,8.026403,0.258311
6,64,0.594682,8.037058,0.230009
7,64,0.551832,8.226052,0.230420
1,65,1.016186,6.932094,0.211438
2,65,0.955499,6.682851,0.233187
3,65,0.724836,5.832907,0.254862
4,65,1.209109,7.003336,0.219715
5,65,1.144566,7.148066,0.217486
6,65,1.118957,6.533732,0.219081
7,65,1.108860,6.469221,0.233063
1,66,1.076299,8.259448,0.260240
2,66,0.961536,8.004193,0.291940
3,66,0.852652,9.006401,0.239753
4,66,0.852375,7.351313,0.250304
5,66,1.210681,9.427032,0.263791
6,66,1.422602,8.448276,0.246631
7,66,0.944264,7.577386,0.275698
1,67,1.160432,8.600282,0.238627
2,67,0.870952,6.642974,0.259768
3,67,1.021800,6.571189,0.249737
4,67,0.786861,7.385541,0.253595
5,67,0.869741,7.438311,0.269449
6,67,0.798308,6.724032,0.276686
7,67,1.295448,7.937084,0.244964
1,68,0.985122,10.285663,0.235329
2,68,0.775163,8.389833,0.271885
3,68,0.691258,7.769455,0.314248
4,68,1.039393,8.323806,0.274312
5,68,0.646461,7.138614,0.303271
6,68,0.967729,9.126474,0.244263
7,68,0.847214,7.516389,0.275951
1,69,3.643387,6.960524,0.259839
2,69,1.920441,5.850909,0.283360
3,69,2.191504,6.531167,0.263593
4,69,3.490543,6.218841,0.294420
5,69,1.921478,5.271295,0.304291
6,69,2.871684,6.301335,0.267864
7,69,4.156963,6.264395,0.280698
1,70,0.754112,3.519872,0.287387
2,70,0.617559,3.906824,0.282770
3,70,0.855559,3.850262,0.278192
4,70,1.049190,4.049031,0.261178
5,70,0.861554,4.358000,0.264563
6,70,0.856608,4.694133,0.214115
7,70,0.809251,4.444015,0.256692
1,71,0.381516,10.648727,0.276527
2,71,0.504346,10.533985,0.257587
3,71,0.525752,12.696377,0.267448
4,71,0.319688,10.459022,0.255343
5,71,0.314035,9.541861,0.306161
6,71,0.319836,9.943220,0.295402
7,71,0.506798,10.467211,0.288208
1,72,0.701663,6.706943,0.283874
2,72,0.776316,7.239908,0.260664
3,72,0.676748,7.168822,0.235916
4,72,0.766112,6.293660,0.311241
5,72,0.839084,7.856928,0.262482
6,72,0.858521,7.688726,0.246330
7,72,0.915524,7.437767,0.250307
1,73,1.205796,8.967497,0.209717
2,73,1.177693,9.188520,0.203756
3,73,1.251122,9.524000,0.191755
4,73,1.219510,8.977045,0.182641
5,73,0.993087,8.300958,0.230180
6,73,0.926355,7.676495,0.221459
7,73,0.961637,9.200579,0.187183
1,74,1.857296,5.566173,0.211809
2,74,2.627215,5.274128,0.219753
3,74,3.320060,6.805580,0.199837
4,74,5.383282,5.571589,0.216635
5,74,3.194364,6.222274,0.208179
6,74,3.116631,5.747712,0.214445
7,74,3.900659,6.708938,0.210446
1,75,1.519466,6.554636,0.254579
2,75,1.734917,6.317502,0.257552
3,75,1.300678,5.328860,0.283682
4,75,2.159709,6.888953,0.246641
5,75,1.240787,5.791454,0.273412
6,75,1.698858,6.903232,0.256361
7,75,1.297581,6.924589,0.247193
1,76,0.878282,5.044485,0.273047
2,76,1.088251,6.729620,0.247724
3,76,1.128398,5.927764,0.236439
4,76,0.890008,6.119117,0.251809
5,76,0.988193,5.967096,0.250474
6,76,1.479678,6.103247,0.273900
7,76,1.128231,6.932101,0.223586
1,77,1.697143,6.540739,0.251438
2,77,1.790663,5.563739,0.294134
3,77,1.408036,5.764478,0.258871
4,77,1.173734,5.607765,0.266752
5,77,1.852176,5.965053,0.254938
6,77,1.861800,6.464637,0.245839
7,77,1.817482,5.733230,0.243791
1,78,0.383142,6.541851,0.207688
2,78,0.417376,6.340270,0.227775
3,78,0.490960,8.707378,0.179212
4,78,0.360893,6.299654,0.246055
5,78,0.477266,6.349272,0.239972
6,78,0.304403,5.596998,0.272075
7,78,0.413456,7.441680,0.188340
1,79,1.565231,4.493817,0.257413
2,79,1.086561,4.629948,0.258271
3,79,1.376454,5.071892,0.218431
4,79,0.975558,4.822460,0.244506
5,79,1.081452,4.398761,0.265580
6,79,1.117931,4.372461,0.248886
7,79,1.197986,4.424304,0.256754
1,80,0.527996,8.079180,0.253594
2,80,0.470082,7.969164,0.260114
3,80,0.600029,9.178078,0.235393
4,80,0.731424,9.827601,0.220723
5,80,0.553151,7.512149,0.301687
6,80,0.428738,6.544493,0.269672
7,80,0.958027,8.995200,0.240084
