Tlag%V_abscissa,Tlag%V_spline,Tlag%V_regression,Tlag%alpha_abscissa,Tlag%alpha_spline,Tlag%alpha_regression,Tlag%beta_abscissa,Tlag%beta_spline,Tlag%beta_regression,Tlag%ka_abscissa,Tlag%ka_spline,Tlag%ka_regression,V%Tlag_abscissa,V%Tlag_spline,V%Tlag_regression,V%alpha_abscissa,V%alpha_spline,V%alpha_regression,V%beta_abscissa,V%beta_spline,V%beta_regression,V%ka_abscissa,V%ka_spline,V%ka_regression,alpha%Tlag_abscissa,alpha%Tlag_spline,alpha%Tlag_regression,alpha%V_abscissa,alpha%V_spline,alpha%V_regression,alpha%beta_abscissa,alpha%beta_spline,alpha%beta_regression,alpha%ka_abscissa,alpha%ka_spline,alpha%ka_regression,beta%Tlag_abscissa,beta%Tlag_spline,beta%Tlag_regression,beta%V_abscissa,beta%V_spline,beta%V_regression,beta%alpha_abscissa,beta%alpha_spline,beta%alpha_regression,beta%ka_abscissa,beta%ka_spline,beta%ka_regression,ka%Tlag_abscissa,ka%Tlag_spline,ka%Tlag_regression,ka%V_abscissa,ka%V_spline,ka%V_regression,ka%alpha_abscissa,ka%alpha_spline,ka%alpha_regression,ka%beta_abscissa,ka%beta_spline,ka%beta_regression
-0.979914,0.553569,0.445968,-0.488423,0.355193,0.361694,-0.146827,0.424758,0.49117,-0.680643,0.385317,0.432366,-1.09544,0.088197,0.123487,-0.488423,-0.112152,-0.0976255,-0.146827,-0.132715,-0.0163034,-0.680643,-0.0375331,-0.0402407,-1.09544,-0.0468957,-0.0615135,-0.979914,-0.257878,-0.191807,-0.146827,-0.14252,-0.000716724,-0.680643,-0.0359494,-0.0766464,-1.09544,0.0398258,0.0266641,-0.979914,-0.000136558,-0.00231236,-0.488423,0.0189192,0.0375757,-0.680643,0.00526193,0.0218675,-1.09544,0.0578474,0.139482,-0.979914,-0.237504,-0.287779,-0.488423,-0.12459,0.0267095,-0.146827,0.328234,0.114964
-0.951476,0.546704,0.442626,-0.475883,0.336571,0.360456,-0.142128,0.419044,0.486294,-0.638271,0.361963,0.425939,-1.03363,0.11863,0.121995,-0.475883,-0.0901468,-0.0920378,-0.142128,-0.122634,-0.0132895,-0.638271,-0.0184854,-0.0328103,-1.03363,-0.0475113,-0.0618366,-0.951476,-0.242264,-0.188538,-0.142128,-0.139255,-0.00266281,-0.638271,-0.0299151,-0.0762029,-1.03363,0.0385954,0.0262776,-0.951476,-0.000453718,-0.00177715,-0.475883,0.0205271,0.0369849,-0.638271,4.61064e-05,0.0216348,-1.03363,0.0347824,0.13593,-0.951476,-0.230684,-0.278579,-0.475883,-0.122888,0.0276483,-0.142128,0.318477,0.113342
-0.923038,0.539839,0.439283,-0.463344,0.317949,0.359219,-0.13743,0.413329,0.481418,-0.5959,0.345576,0.419512,-0.971825,0.147035,0.120503,-0.463344,-0.068142,-0.0864501,-0.13743,-0.112554,-0.0102756,-0.5959,-0.00361611,-0.0253798,-0.971825,-0.0486231,-0.0621596,-0.923038,-0.22665,-0.185269,-0.13743,-0.135991,-0.00460889,-0.5959,-0.0276457,-0.0757593,-0.971825,0.0373148,0.0258911,-0.923038,-0.000770878,-0.00124194,-0.463344,0.022135,0.0363941,-0.5959,-0.00357874,0.0214021,-0.971825,0.0139203,0.132378,-0.923038,-0.223864,-0.26938,-0.463344,-0.121186,0.0285871,-0.13743,0.308719,0.111719
-0.8946,0.532974,0.435941,-0.450804,0.299328,0.357982,-0.132732,0.407614,0.476542,-0.553529,0.331749,0.413084,-0.910017,0.171949,0.119011,-0.450804,-0.0461372,-0.0808624,-0.132732,-0.102473,-0.00726171,-0.553529,0.00978751,-0.0179493,-0.910017,-0.0505245,-0.0624827,-0.8946,-0.211036,-0.182001,-0.132732,-0.132726,-0.00655498,-0.553529,-0.0267044,-0.0753158,-0.910017,0.036003,0.0255045,-0.8946,-0.00108804,-0.000706732,-0.450804,0.0237429,0.0358033,-0.553529,-0.0066395,0.0211695,-0.910017,-0.00365275,0.128826,-0.8946,-0.217044,-0.26018,-0.450804,-0.119484,0.0295259,-0.132732,0.298962,0.110097
-0.866162,0.526109,0.432599,-0.438265,0.280706,0.356745,-0.128034,0.400751,0.471666,-0.511157,0.326907,0.406657,-0.848209,0.194696,0.117519,-0.438265,-0.0241324,-0.0752747,-0.128034,-0.0915967,-0.00424781,-0.511157,0.0184555,-0.0105188,-0.848209,-0.0528522,-0.0628057,-0.866162,-0.195422,-0.178732,-0.128034,-0.128446,-0.00850106,-0.511157,-0.0301009,-0.0748723,-0.848209,0.0347248,0.025118,-0.866162,-0.0014052,-0.00017152,-0.438265,0.0253508,0.0352125,-0.511157,-0.0078391,0.0209368,-0.848209,-0.0196746,0.125274,-0.866162,-0.210224,-0.25098,-0.438265,-0.117782,0.0304647,-0.128034,0.287493,0.108475
-0.837724,0.518896,0.429256,-0.425726,0.262084,0.355508,-0.123336,0.392631,0.466791,-0.468786,0.32948,0.40023,-0.786401,0.21327,0.116027,-0.425726,-0.00212755,-0.069687,-0.123336,-0.0798509,-0.0012339,-0.468786,0.0233998,-0.00308826,-0.786401,-0.0559821,-0.0631288,-0.837724,-0.179985,-0.175464,-0.123336,-0.123055,-0.0104471,-0.468786,-0.0369483,-0.0744287,-0.786401,0.0335273,0.0247315,-0.837724,-0.00172643,0.000363691,-0.425726,0.0269588,0.0346218,-0.468786,-0.00752628,0.0207041,-0.786401,-0.0328553,0.121721,-0.837724,-0.203485,-0.24178,-0.425726,-0.11608,0.0314034,-0.123336,0.274154,0.106853
-0.809286,0.508986,0.425914,-0.413186,0.243463,0.354271,-0.118638,0.384512,0.461915,-0.426415,0.337821,0.393802,-0.724593,0.226587,0.114535,-0.413186,0.0198773,-0.0640993,-0.118638,-0.0681051,0.00178001,-0.426415,0.0255787,0.00434224,-0.724593,-0.0600767,-0.0634518,-0.809286,-0.165919,-0.172195,-0.118638,-0.117664,-0.0123932,-0.426415,-0.0464128,-0.0739852,-0.724593,0.0324702,0.024345,-0.809286,-0.00207925,0.000898902,-0.413186,0.0285667,0.034031,-0.426415,-0.00601067,0.0204714,-0.724593,-0.0428128,0.118169,-0.809286,-0.19737,-0.232581,-0.413186,-0.114378,0.0323422,-0.118638,0.260814,0.105231
-0.780848,0.499076,0.422572,-0.400647,0.224841,0.353033,-0.113939,0.376393,0.457039,-0.384043,0.351558,0.387375,-0.662785,0.234806,0.113043,-0.400647,0.0418821,-0.0585116,-0.113939,-0.0563593,0.00479391,-0.384043,0.025384,0.0117727,-0.662785,-0.0650631,-0.0637749,-0.780848,-0.151854,-0.168927,-0.113939,-0.112272,-0.0143393,-0.384043,-0.0582268,-0.0735416,-0.662785,0.0315686,0.0239585,-0.780848,-0.00243206,0.00143411,-0.400647,0.0301746,0.0334402,-0.384043,-0.00330823,0.0202388,-0.662785,-0.0498322,0.114617,-0.780848,-0.191256,-0.223381,-0.400647,-0.112676,0.033281,-0.113939,0.247474,0.103608
-0.752409,0.489166,0.41923,-0.388107,0.206219,0.351796,-0.109241,0.368071,0.452163,-0.341672,0.367726,0.380948,-0.600977,0.240112,0.111551,-0.388107,0.0638869,-0.0529239,-0.109241,-0.0444198,0.00780782,-0.341672,0.0242784,0.0192032,-0.600977,-0.0705502,-0.0640979,-0.752409,-0.137788,-0.165658,-0.109241,-0.106368,-0.0162854,-0.341672,-0.0710261,-0.0730981,-0.600977,0.0307567,0.023572,-0.752409,-0.00278488,0.00196932,-0.388107,0.0317825,0.0328494,-0.341672,-2.50874e-05,0.0200061,-0.600977,-0.0551831,0.111065,-0.752409,-0.185142,-0.214181,-0.388107,-0.110974,0.0342198,-0.109241,0.233171,0.101986
-0.723971,0.479257,0.415887,-0.375568,0.187597,0.350559,-0.104543,0.359585,0.447287,-0.2993,0.385967,0.37452,-0.539169,0.239195,0.110059,-0.375568,0.0858917,-0.0473362,-0.104543,-0.0323234,0.0108217,-0.2993,0.0227201,0.0266337,-0.539169,-0.0769994,-0.064421,-0.723971,-0.123723,-0.162389,-0.104543,-0.100047,-0.0182315,-0.2993,-0.0845149,-0.0726546,-0.539169,0.0301356,0.0231855,-0.723971,-0.00313769,0.00250454,-0.375568,0.0333905,0.0322586,-0.2993,0.00384581,0.0197734,-0.539169,-0.0570087,0.107512,-0.723971,-0.179028,-0.204982,-0.375568,-0.109272,0.0351586,-0.104543,0.218088,0.100364
