id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
117,0.208599,0.033748,78.158344,0.208473,0.034132,78.161702,0.000000,0.001845,0.245403
118,0.208599,0.013701,78.196555,0.208473,0.012623,78.973493,0.000000,0.002060,1.597596
119,0.208599,0.087900,63.324480,0.208473,0.088388,63.338637,0.000000,0.003284,0.139978
120,0.208599,0.048333,82.715995,0.208473,0.046612,82.717770,0.000000,0.007522,0.956796
121,0.208599,0.029753,65.017730,0.208473,0.029568,64.972671,0.000000,0.000976,0.196166
122,0.208599,0.024682,81.065905,0.208473,0.024836,81.091389,0.000000,0.001578,0.240049
123,0.208599,0.030270,83.828363,0.208473,0.030081,83.832430,0.000000,0.003216,0.264989
124,0.208599,0.029022,77.623107,0.208473,0.028911,77.589873,0.000000,0.001371,0.253044
125,0.208599,0.034559,72.642984,0.208473,0.033907,72.538731,0.000000,0.001309,0.228639
126,0.208599,0.014376,67.583562,0.208473,0.014361,67.579959,0.000000,0.000511,0.262308
127,0.208599,0.018719,75.912755,0.208473,0.018443,75.999457,0.000000,0.001414,0.372795
128,0.208599,0.008155,74.444442,0.208473,0.008098,74.373015,0.000000,0.000634,0.568169
129,0.208599,0.042508,81.952007,0.208473,0.042074,81.953704,0.000000,0.002582,0.153922
130,0.208599,0.014809,78.953446,0.208473,0.014794,78.953943,0.000000,0.000655,0.333848
131,0.208599,0.044057,60.407170,0.208473,0.043980,60.399452,0.000000,0.001431,0.233044
132,0.208599,0.017498,64.783952,0.208473,0.017596,64.819848,0.000000,0.000613,0.405918
133,0.208599,0.037862,69.200829,0.208473,0.038022,69.230179,0.000000,0.000860,0.183655
134,0.208599,0.043969,74.141455,0.208473,0.043733,74.189586,0.000000,0.004476,0.405387
135,0.208599,0.012510,70.839003,0.208473,0.012863,70.827987,0.000000,0.000948,0.342546
136,0.208599,0.108053,68.517469,0.208473,0.109544,68.525971,0.000000,0.011119,0.097524
137,0.208599,0.030257,72.877745,0.208473,0.030364,72.853120,0.000000,0.001967,0.215597
138,0.208599,0.114621,65.556962,0.208473,0.117958,65.593278,0.000000,0.012742,0.169405
139,0.208599,0.020036,51.746917,0.208473,0.020120,51.800514,0.000000,0.000778,0.558824
140,0.208599,0.012200,75.004749,0.208473,0.012932,74.743244,0.000000,0.001774,0.612482
141,0.208599,0.021548,67.171148,0.208473,0.021592,67.200482,0.000000,0.000488,0.295188
142,0.208599,0.033048,55.897047,0.208473,0.033016,55.915227,0.000000,0.000987,0.240180
143,0.208599,0.035983,73.046844,0.208473,0.036171,73.051855,0.000000,0.002215,0.145193
144,0.208599,0.020102,61.831425,0.208473,0.020169,61.870851,0.000000,0.000665,0.546328
145,0.208599,0.048523,78.728350,0.208473,0.043692,80.109034,0.000000,0.015783,4.049167
146,0.208599,0.033434,65.180983,0.208473,0.033762,65.291080,0.000000,0.000933,0.342730
147,0.208599,0.049894,56.922404,0.208473,0.049934,56.933275,0.000000,0.001702,0.208527
148,0.208599,0.027094,65.776562,0.208473,0.026731,65.594255,0.000000,0.000719,0.349221
149,0.208599,0.030468,70.165184,0.208473,0.030498,70.170288,0.000000,0.000939,0.138047
150,0.208599,0.028770,70.346302,0.208473,0.029136,70.321787,0.000000,0.002095,0.140614
151,0.208599,0.010352,75.743513,0.208473,0.010506,75.682989,0.000000,0.000895,0.360577
152,0.208599,0.021725,67.412674,0.208473,0.021774,67.421256,0.000000,0.000442,0.285196
153,0.208599,0.029297,72.676428,0.208473,0.029154,72.635564,0.000000,0.001247,0.209212
154,0.208599,0.061769,80.416314,0.208473,0.073597,80.132951,0.000000,0.023243,0.990850
155,0.208599,0.017918,70.752217,0.208473,0.017798,70.659295,0.000000,0.000907,0.307937
156,0.208599,0.031105,81.478071,0.208473,0.030903,81.441134,0.000000,0.001076,0.225428
157,0.208599,0.055570,63.916546,0.208473,0.055578,63.919294,0.000000,0.001513,0.181612
158,0.208599,0.025969,57.923401,0.208473,0.026169,58.024004,0.000000,0.000494,0.263192
159,0.208599,0.026293,75.461673,0.208473,0.026086,75.375603,0.000000,0.000597,0.243668
160,0.208599,0.024750,70.994618,0.208473,0.024834,70.976821,0.000000,0.001002,0.239799
161,0.208599,0.040125,74.197712,0.208473,0.041327,74.132470,0.000000,0.005550,0.284240
162,0.208599,0.023025,84.701339,0.208473,0.022911,84.729567,0.000000,0.002457,0.352292
163,0.208599,0.017275,73.672297,0.208473,0.017185,73.598572,0.000000,0.000577,0.392384
164,0.208599,0.010608,72.249753,0.208473,0.010654,72.195451,0.000000,0.000398,0.373077
165,0.208599,0.041840,66.611727,0.208473,0.042023,66.621893,0.000000,0.001146,0.142345
166,0.208599,0.020845,72.064361,0.208473,0.020931,72.103388,0.000000,0.000846,0.236162
167,0.208599,0.006629,73.027467,0.208473,0.006613,73.131761,0.000000,0.000466,0.635504
168,0.208599,0.098774,84.529802,0.208473,0.066133,88.422909,0.000000,0.021029,3.835222
169,0.208599,0.058297,63.103687,0.208473,0.058218,63.098455,0.000000,0.001827,0.142683
170,0.208599,0.031889,69.276604,0.208473,0.031688,69.222337,0.000000,0.000887,0.229484
171,0.208599,0.011031,64.479307,0.208473,0.010931,64.345149,0.000000,0.000405,0.396768
172,0.208599,0.024360,67.522776,0.208473,0.024464,67.575142,0.000000,0.001062,0.165302
173,0.208599,0.053196,64.565516,0.208473,0.053030,64.561645,0.000000,0.001230,0.115065
174,0.208599,0.011690,65.342430,0.208473,0.011560,65.255549,0.000000,0.000428,0.330334
175,0.208599,0.017813,65.183108,0.208473,0.017776,65.174178,0.000000,0.000418,0.251826
176,0.208599,0.030587,62.496743,0.208473,0.030552,62.504361,0.000000,0.000846,0.179899
177,0.208599,0.054689,78.226993,0.208473,0.053026,79.505079,0.000000,0.021647,3.715403
178,0.208599,0.032055,78.973243,0.208473,0.032137,78.977648,0.000000,0.002342,0.539389
179,0.208599,0.037601,64.982309,0.208473,0.037380,64.928553,0.000000,0.000797,0.205016
180,0.208599,0.028881,59.641425,0.208473,0.028700,59.612014,0.000000,0.000797,0.133127
181,0.208599,0.066043,70.832989,0.208473,0.066399,70.870840,0.000000,0.002019,0.174778
182,0.208599,0.010908,59.684252,0.208473,0.010921,59.673556,0.000000,0.000519,0.467661
183,0.208599,0.020830,67.836574,0.208473,0.021065,67.884359,0.000000,0.001082,0.313297
184,0.208599,0.029681,67.295110,0.208473,0.029572,67.269448,0.000000,0.000629,0.182735
185,0.208599,0.053741,72.578452,0.208473,0.053566,72.563079,0.000000,0.001095,0.100467
186,0.208599,0.032965,67.956382,0.208473,0.032911,67.946017,0.000000,0.001109,0.161200
187,0.208599,0.091395,61.945060,0.208473,0.090708,61.907215,0.000000,0.004102,0.177343
188,0.208599,0.033502,73.136022,0.208473,0.033562,73.149282,0.000000,0.001113,0.244609
189,0.208599,0.014413,66.450710,0.208473,0.014554,66.504015,0.000000,0.000926,0.355367
190,0.208599,0.069392,70.554679,0.208473,0.069847,70.585630,0.000000,0.001348,0.091546
191,0.208599,0.024903,68.142151,0.208473,0.024933,68.129513,0.000000,0.000668,0.199176
192,0.208599,0.042904,57.465937,0.208473,0.041784,57.323421,0.000000,0.001592,0.198398
193,0.208599,0.015414,82.169700,0.208473,0.015288,82.218448,0.000000,0.000892,0.411011
194,0.208599,0.038477,65.954791,0.208473,0.038775,65.997878,0.000000,0.000930,0.154540
195,0.208599,0.029475,64.527155,0.208473,0.029534,64.559696,0.000000,0.000726,0.235282
196,0.208599,0.038484,63.320787,0.208473,0.038488,63.331718,0.000000,0.001434,0.349234
197,0.208599,0.044188,70.460090,0.208473,0.044586,70.468670,0.000000,0.002123,0.096896
198,0.208599,0.104095,72.091853,0.208473,0.104064,72.088777,0.000000,0.006384,0.291652
199,0.208599,0.039590,63.105115,0.208473,0.039596,63.095683,0.000000,0.000726,0.146854
200,0.208599,0.019001,62.739153,0.208473,0.019032,62.757733,0.000000,0.000451,0.331717
201,0.208599,0.016081,76.316112,0.208473,0.015972,76.337869,0.000000,0.000607,0.320975
202,0.208599,0.011009,65.028304,0.208473,0.011206,65.259212,0.000000,0.000391,0.459437
203,0.208599,0.018773,61.775814,0.208473,0.018704,61.727535,0.000000,0.000396,0.223373
204,0.208599,0.020499,61.652002,0.208473,0.020096,61.516865,0.000000,0.000590,0.268555
205,0.208599,0.079574,69.473703,0.208473,0.079738,69.479942,0.000000,0.002709,0.096954
206,0.208599,0.042081,76.686789,0.208473,0.042044,76.683907,0.000000,0.001530,0.228973
207,0.208599,0.022178,72.336878,0.208473,0.022342,72.367489,0.000000,0.000838,0.257120
208,0.208599,0.039371,77.458480,0.208473,0.037957,77.753055,0.000000,0.006060,0.961260
209,0.208599,0.040113,73.549680,0.208473,0.040756,73.704885,0.000000,0.001554,0.368024
210,0.208599,0.014399,60.223902,0.208473,0.014454,60.275551,0.000000,0.000501,0.448162
211,0.208599,0.016681,66.716460,0.208473,0.016470,66.512600,0.000000,0.000469,0.421003
212,0.208599,0.045485,61.534883,0.208473,0.045699,61.541045,0.000000,0.002117,0.304070
213,0.208599,0.026631,75.272189,0.208473,0.026764,75.320561,0.000000,0.000756,0.231041
214,0.208599,0.053152,77.245855,0.208473,0.053473,77.288390,0.000000,0.001745,0.168618
215,0.208599,0.059648,61.448890,0.208473,0.059898,61.454136,0.000000,0.001679,0.113288
216,0.208599,0.039454,70.727305,0.208473,0.039429,70.736893,0.000000,0.002251,0.140482
217,0.208599,0.058989,66.247199,0.208473,0.061768,66.639777,0.000000,0.006568,0.912036
218,0.208599,0.031084,69.728424,0.208473,0.030967,69.690063,0.000000,0.000701,0.193655
219,0.208599,0.021364,74.647142,0.208473,0.021245,74.686505,0.000000,0.002745,0.692997
220,0.208599,0.039256,72.226436,0.208473,0.039427,72.252381,0.000000,0.001013,0.146399
221,0.208599,0.016413,64.859054,0.208473,0.016463,64.882991,0.000000,0.000555,0.430813
222,0.208599,0.050104,78.073194,0.208473,0.052547,77.941374,0.000000,0.010573,0.623193
223,0.208599,0.015111,66.181875,0.208473,0.015026,66.106515,0.000000,0.000336,0.295030
224,0.208599,0.010071,74.950717,0.208473,0.010478,74.367303,0.000000,0.001010,1.342307
225,0.208599,0.008784,65.295849,0.208473,0.008808,65.358857,0.000000,0.000399,0.536492
226,0.208599,0.042126,63.172716,0.208473,0.041929,63.128030,0.000000,0.001149,0.181872
227,0.208599,0.014696,66.960692,0.208473,0.014776,66.966061,0.000000,0.000609,0.272831
228,0.208599,0.015457,67.070200,0.208473,0.015625,67.126075,0.000000,0.000579,0.268908
229,0.208599,0.017376,61.819828,0.208473,0.017362,61.839004,0.000000,0.000323,0.309532
230,0.208599,0.037204,80.688914,0.208473,0.036638,80.705339,0.000000,0.003696,0.187839
231,0.208599,0.030513,67.849075,0.208473,0.030775,67.879143,0.000000,0.001226,0.170539
232,0.208599,0.047783,69.723324,0.208473,0.048134,69.777736,0.000000,0.001363,0.173413
233,0.208599,0.039998,63.002575,0.208473,0.040305,63.035800,0.000000,0.000945,0.133454
234,0.208599,0.027212,61.045544,0.208473,0.027300,61.073936,0.000000,0.000672,0.225961
235,0.208599,0.017837,59.620903,0.208473,0.017882,59.621966,0.000000,0.000363,0.396219
236,0.208599,0.030225,70.365059,0.208473,0.030235,70.365536,0.000000,0.000714,0.250197
237,0.208599,0.041795,59.321944,0.208473,0.041748,59.308263,0.000000,0.000765,0.159404
238,0.208599,0.032414,74.139833,0.208473,0.032074,74.164646,0.000000,0.001777,0.190589
