iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_ka
107,116.245,1,0.00544061,214.866,0.225628,5.03205,0.36345,0.82376,2.67948,0.595477,0.840636
108,120.056,1,0.0060001,210.952,0.228075,5.07522,0.361449,0.81455,2.73194,0.594914,0.819351
109,124.121,1,0.00506801,195.604,0.235209,5.23548,0.359298,0.68059,2.66276,0.579851,0.882874
110,128.993,1,0.0108177,201.854,0.242499,5.17069,0.35796,0.74973,2.59534,0.565169,0.860519
111,126.242,1,0.0148657,209.234,0.240916,5.04173,0.363308,0.829373,2.52963,0.589194,0.838731
112,125.106,1,0.011213,206.7,0.240159,5.05887,0.367228,0.85525,2.70732,0.574275,0.817493
113,122.586,1,0.00902598,212.535,0.238236,4.94876,0.371596,0.799262,2.63877,0.559734,0.803971
114,124.073,1,0.00419283,222.415,0.238307,4.82962,0.374798,0.859772,2.60007,0.583109,0.783614
115,129.45,1,0.00270983,221.351,0.23947,4.70459,0.378592,0.946266,2.79107,0.598505,0.78352
116,126.409,1,0.00217045,241.142,0.236398,4.60189,0.379662,0.953135,2.92708,0.609409,0.763681
117,123.97,1,0.00340324,238.652,0.232012,4.43097,0.374748,0.999512,3.09583,0.627597,0.744344
118,125.026,1,0.00457511,235.372,0.228894,4.45599,0.375302,1.16273,3.49345,0.618288,0.738548
119,128.382,1,0.0038136,250.439,0.234321,4.48008,0.371865,1.12583,3.40499,0.610633,0.7219
120,125.206,1,0.0039157,251.062,0.232617,4.27046,0.371892,1.0855,3.31877,0.608862,0.73297
121,125.728,1,0.0030736,242.317,0.23116,4.21251,0.373471,1.14351,3.23474,0.605917,0.784648
122,121.207,1,0.00300357,223.133,0.228752,4.20541,0.383475,1.08984,3.44351,0.590575,0.76478
123,124.428,1,0.00355459,223.267,0.23148,4.23395,0.383425,1.08284,3.35632,0.575621,0.759015
124,127.544,1,0.00393679,218.276,0.233537,4.28152,0.38572,0.992857,3.64913,0.561046,0.763731
125,129.557,1,0.0025258,218.513,0.234901,4.39673,0.382313,0.861699,3.55673,0.548334,0.797055
126,126.993,1,0.00336876,210.617,0.231216,4.26867,0.382893,0.863003,3.46667,0.584998,0.79282
127,127.67,1,0.00245315,208.851,0.231933,4.29078,0.384496,0.808894,3.8456,0.573361,0.772745
128,127.76,1,0.00242742,222.34,0.229889,4.20721,0.380446,0.919746,3.74822,0.623652,0.753179
129,133.268,1,0.00167696,230.392,0.233571,4.27199,0.376316,0.960748,3.65332,0.660517,0.846576
130,127.068,1,0.00115984,224.24,0.231024,4.38593,0.378576,0.895759,3.56081,0.643792,0.825141
131,130.56,1,0.00129454,233.201,0.233824,4.32497,0.3796,0.962649,3.47065,0.665883,0.804248
132,131.93,1,0.000857656,235.335,0.235081,4.30864,0.382475,0.914945,3.38277,0.659136,0.783884
133,134.582,1,0.0014479,214.021,0.2381,4.36069,0.389569,0.797785,3.70934,0.642446,0.764035
134,135.616,1,0.00196079,210.334,0.235232,4.37099,0.385707,0.8021,3.86069,0.626179,0.800358
135,129.57,1,0.00177004,210.843,0.229275,4.34858,0.388984,0.855688,3.76294,0.645352,0.794905
136,129.4,1,0.00133269,203.815,0.234387,4.36201,0.391083,0.846559,3.67952,0.629012,0.774778
137,135.122,1,0.000516567,216.831,0.237849,4.27006,0.387547,0.920247,3.76719,0.613085,0.767318
