STUDY,ARM,DRUG,DRUGinteger,TIME,Y,Publication,Narm,TRT,DiseaseDuration,CReactiveProtein,SwollenJointCount,transY
5,0,placebo,0,2.14,8.80239521,Kremer2,119,abata,8.9,3.2,21.8,-25.50462092
5,0,placebo,0,4.29,21.37724551,Kremer2,119,abata,8.9,3.2,21.8,-14.20678769
5,0,placebo,0,8.57,34.37125749,Kremer2,119,abata,8.9,3.2,21.8,-7.055679411
5,0,placebo,0,12.86,39.4011976,Kremer2,119,abata,8.9,3.2,21.8,-4.695970594
5,0,placebo,0,17.14,45.68862275,Kremer2,119,abata,8.9,3.2,21.8,-1.885946354
5,0,placebo,0,21.43,44.8502994,Kremer2,119,abata,8.9,3.2,21.8,-2.255060452
5,0,placebo,0,25.71,42.75449102,Kremer2,119,abata,8.9,3.2,21.8,-3.183979811
5,0,placebo,0,34.29,42.33532934,Kremer2,119,abata,8.9,3.2,21.8,-3.371040172
5,0,placebo,0,42.86,39.82035928,Kremer2,119,abata,8.9,3.2,21.8,-4.504815718
5,0,placebo,0,51.43,42.33532934,Kremer2,119,abata,8.9,3.2,21.8,-3.371040172
5,1,abata,2,2.14,26.82634731,Kremer2,115,abata,9.7,2.9,21.3,-10.76081215
5,1,abata,2,4.29,42.75449102,Kremer2,115,abata,9.7,2.9,21.3,-3.130010142
5,1,abata,2,8.57,57.84431138,Kremer2,115,abata,9.7,2.9,21.3,3.392856265
5,1,abata,2,12.86,55.74850299,Kremer2,115,abata,9.7,2.9,21.3,2.476784616
5,1,abata,2,17.14,63.29341317,Kremer2,115,abata,9.7,2.9,21.3,5.842597755
5,1,abata,2,21.43,59.52095808,Kremer2,115,abata,9.7,2.9,21.3,4.134500189
5,1,abata,2,25.71,62.03592814,Kremer2,115,abata,9.7,2.9,21.3,5.26617626
5,1,abata,2,34.29,64.13173653,Kremer2,115,abata,9.7,2.9,21.3,6.231458189
5,1,abata,2,42.86,64.97005988,Kremer2,115,abata,9.7,2.9,21.3,6.624345669
5,1,abata,2,51.43,64.13173653,Kremer2,115,abata,9.7,2.9,21.3,6.231458189
7,0,placebo,0,2,13.9,Novartis,70,canaki,8.7,1.6,12.1,-15.25750436
7,0,placebo,0,4,19.65,Novartis,70,canaki,8.7,1.6,12.1,-11.78280659
7,0,placebo,0,8,26.78,Novartis,70,canaki,8.7,1.6,12.1,-8.41523755
7,0,placebo,0,12,28.27,Novartis,70,canaki,8.7,1.6,12.1,-7.79020759
7,1,canaki,3,2,22.98,Novartis,69,canaki,11.1,1.6,11.8,-10.04637027
7,1,canaki,3,4,38.85,Novartis,69,canaki,11.1,1.6,11.8,-3.768065547
