id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
103,0.231747,0.036373,79.911642,0.231792,0.034710,80.117702,0.000000,0.002848,0.403406
104,0.231747,0.049937,65.137264,0.231792,0.050138,65.136349,0.000000,0.000799,0.094382
105,0.231747,0.033419,80.000166,0.231792,0.034504,79.902238,0.000000,0.003691,0.325674
106,0.231747,0.105740,72.632122,0.231792,0.105453,72.622644,0.000000,0.005094,0.075527
107,0.231747,0.015981,55.231345,0.231792,0.016419,55.690345,0.000000,0.000744,0.639979
108,0.231747,0.062669,67.443131,0.231792,0.064635,67.393274,0.000000,0.006007,0.163359
109,0.231747,0.048389,65.936275,0.231792,0.048012,65.925598,0.000000,0.001584,0.142049
110,0.231747,0.015519,60.145119,0.231792,0.015566,60.204673,0.000000,0.000984,0.705181
111,0.231747,0.040568,55.310336,0.231792,0.040810,55.338099,0.000000,0.002031,0.182670
112,0.231747,0.019660,65.944128,0.231792,0.019328,65.799762,0.000000,0.000907,0.305841
113,0.231747,0.042914,67.571335,0.231792,0.043141,67.598666,0.000000,0.000956,0.112062
114,0.231747,0.013708,62.785228,0.231792,0.013647,62.764514,0.000000,0.000616,0.391209
115,0.231747,0.028160,68.397862,0.231792,0.027811,68.309475,0.000000,0.000921,0.303701
116,0.231747,0.039336,61.477056,0.231792,0.039674,61.514335,0.000000,0.000815,0.140376
117,0.231747,0.036910,78.831939,0.231792,0.037015,78.832530,0.000000,0.002210,0.262441
118,0.231747,0.013485,80.625293,0.231792,0.013032,81.228616,0.000000,0.001876,1.700778
119,0.231747,0.095697,63.631093,0.231792,0.094718,63.569479,0.000000,0.003380,0.132093
120,0.231747,0.051510,83.211326,0.231792,0.054913,82.662807,0.000000,0.007633,0.690127
121,0.231747,0.031858,65.738865,0.231792,0.032060,65.750027,0.000000,0.000989,0.148117
122,0.231747,0.026554,82.008482,0.231792,0.026788,81.946359,0.000000,0.001797,0.273857
123,0.231747,0.032802,84.597541,0.231792,0.032527,84.599841,0.000000,0.003316,0.223123
124,0.231747,0.031127,78.332784,0.231792,0.031096,78.340693,0.000000,0.001303,0.219659
125,0.231747,0.036568,73.219088,0.231792,0.036788,73.222446,0.000000,0.001639,0.231864
126,0.231747,0.015518,69.133675,0.231792,0.015396,69.120720,0.000000,0.000506,0.239522
127,0.231747,0.020128,77.194697,0.231792,0.020253,77.163669,0.000000,0.001540,0.426826
128,0.231747,0.008578,77.271394,0.231792,0.008726,77.166685,0.000000,0.000627,0.588139
129,0.231747,0.045990,82.481215,0.231792,0.046062,82.481916,0.000000,0.002607,0.142678
130,0.231747,0.015966,80.422472,0.231792,0.015864,80.469953,0.000000,0.000732,0.345948
131,0.231747,0.047685,60.947285,0.231792,0.046725,60.816220,0.000000,0.001942,0.282947
132,0.231747,0.018926,66.087212,0.231792,0.018925,66.068406,0.000000,0.000726,0.389457
133,0.231747,0.040841,69.780267,0.231792,0.040813,69.779888,0.000000,0.000687,0.132021
134,0.231747,0.045481,74.839929,0.231792,0.048084,74.602968,0.000000,0.004102,0.328968
135,0.231747,0.013713,72.610378,0.231792,0.013545,72.673314,0.000000,0.001212,0.460936
136,0.231747,0.120293,68.736998,0.231792,0.117736,68.735163,0.000000,0.012071,0.082686
137,0.231747,0.032596,73.598281,0.231792,0.032982,73.548752,0.000000,0.002136,0.232683
138,0.231747,0.130654,65.821781,0.231792,0.122352,65.741304,0.000000,0.009874,0.104072
139,0.231747,0.021113,52.531561,0.231792,0.021609,52.855082,0.000000,0.000553,0.364048
140,0.231747,0.015779,75.837583,0.231792,0.013703,76.689095,0.000000,0.002305,1.004009
141,0.231747,0.023000,68.099863,0.231792,0.023245,68.216788,0.000000,0.000503,0.278705
142,0.231747,0.035535,56.571727,0.231792,0.035340,56.530260,0.000000,0.001225,0.234154
143,0.231747,0.038557,73.672739,0.231792,0.039150,73.665848,0.000000,0.002596,0.180145
144,0.231747,0.021891,63.060378,0.231792,0.021925,63.127136,0.000000,0.000667,0.462543
145,0.231747,0.058489,77.730737,0.231792,0.057415,79.016077,0.000000,0.025292,3.889656
146,0.231747,0.036042,65.868874,0.231792,0.036530,65.951184,0.000000,0.000997,0.322017
147,0.231747,0.053747,57.381831,0.231792,0.054325,57.422368,0.000000,0.001636,0.174841
148,0.231747,0.028664,66.362934,0.231792,0.028902,66.460971,0.000000,0.000946,0.396779
149,0.231747,0.033088,70.943441,0.231792,0.033078,70.915700,0.000000,0.000830,0.106632
150,0.231747,0.031635,71.056663,0.231792,0.031501,71.077235,0.000000,0.002371,0.149172
151,0.231747,0.011227,77.887177,0.231792,0.011251,77.802920,0.000000,0.000947,0.478455
152,0.231747,0.023451,68.433870,0.231792,0.023544,68.485072,0.000000,0.000517,0.281291
153,0.231747,0.031041,73.360919,0.231792,0.031350,73.393573,0.000000,0.001404,0.194592
154,0.231747,0.045711,82.881483,0.231792,0.060618,81.258364,0.000000,0.012900,1.036877
155,0.231747,0.019175,71.923021,0.231792,0.019163,71.908578,0.000000,0.000941,0.282397
156,0.231747,0.033315,82.142012,0.231792,0.033159,82.144543,0.000000,0.000999,0.164481
157,0.231747,0.060557,64.385833,0.231792,0.059551,64.279489,0.000000,0.001504,0.162404
158,0.231747,0.028167,58.830978,0.231792,0.028257,58.888724,0.000000,0.000497,0.241230
159,0.231747,0.028373,76.309164,0.231792,0.028210,76.253237,0.000000,0.000866,0.300206
160,0.231747,0.026609,71.844576,0.231792,0.026815,71.895131,0.000000,0.001173,0.202183
161,0.231747,0.043771,74.717463,0.231792,0.042663,74.768801,0.000000,0.004353,0.270271
162,0.231747,0.024773,85.739919,0.231792,0.025454,85.709281,0.000000,0.002840,0.326169
163,0.231747,0.018698,74.975448,0.231792,0.018746,74.972756,0.000000,0.000523,0.322164
164,0.231747,0.011499,74.292135,0.231792,0.011518,74.351488,0.000000,0.000469,0.380754
165,0.231747,0.045301,67.141398,0.231792,0.045293,67.168634,0.000000,0.001197,0.153595
166,0.231747,0.022278,73.127360,0.231792,0.022365,73.106493,0.000000,0.000908,0.216657
167,0.231747,0.007314,76.185921,0.231792,0.007161,76.416935,0.000000,0.000585,0.761529
168,0.231747,0.069504,88.561104,0.231792,0.094116,84.804418,0.000000,0.026773,2.273753
169,0.231747,0.062500,63.484009,0.231792,0.062668,63.472941,0.000000,0.001971,0.127642
170,0.231747,0.034446,69.997185,0.231792,0.034120,69.914299,0.000000,0.000752,0.159290
171,0.231747,0.011779,66.375781,0.231792,0.011798,66.403425,0.000000,0.000402,0.331527
172,0.231747,0.026410,68.497616,0.231792,0.026635,68.479821,0.000000,0.001136,0.130958
173,0.231747,0.057787,65.018411,0.231792,0.057391,65.002303,0.000000,0.001151,0.104602
174,0.231747,0.012428,67.183398,0.231792,0.012396,67.150834,0.000000,0.000417,0.278501
175,0.231747,0.019287,66.477520,0.231792,0.019165,66.419446,0.000000,0.000438,0.235123
176,0.231747,0.032931,63.236777,0.231792,0.032651,63.180203,0.000000,0.001096,0.188119
177,0.231747,0.052170,80.796338,0.231792,0.052146,80.156554,0.000000,0.024777,3.579047
178,0.231747,0.035041,79.742115,0.231792,0.033139,79.387416,0.000000,0.002151,0.438350
179,0.231747,0.040454,65.571442,0.231792,0.040229,65.527776,0.000000,0.000834,0.179061
180,0.231747,0.030907,60.406564,0.231792,0.030747,60.385244,0.000000,0.000999,0.119632
181,0.231747,0.071653,71.193708,0.231792,0.071135,71.152934,0.000000,0.002161,0.147839
182,0.231747,0.011649,61.635728,0.231792,0.011764,61.722389,0.000000,0.000573,0.421215
183,0.231747,0.022338,68.890848,0.231792,0.022432,68.914523,0.000000,0.001234,0.265102
184,0.231747,0.031947,68.025100,0.231792,0.031936,68.039987,0.000000,0.000588,0.163446
185,0.231747,0.058289,73.031457,0.231792,0.057855,72.985491,0.000000,0.001285,0.094148
186,0.231747,0.035437,68.623809,0.231792,0.035531,68.615341,0.000000,0.001463,0.160854
187,0.231747,0.099894,62.239692,0.231792,0.099366,62.223655,0.000000,0.004248,0.152748
188,0.231747,0.036144,73.824823,0.231792,0.036370,73.870440,0.000000,0.001083,0.233329
189,0.231747,0.015924,68.077164,0.231792,0.015909,68.115344,0.000000,0.000861,0.263061
190,0.231747,0.074527,70.864901,0.231792,0.075388,70.903525,0.000000,0.001418,0.081482
191,0.231747,0.026831,69.028584,0.231792,0.026931,69.043613,0.000000,0.000772,0.197995
192,0.231747,0.045345,57.876352,0.231792,0.044984,57.853764,0.000000,0.001431,0.158998
193,0.231747,0.016757,83.595731,0.231792,0.016505,83.681169,0.000000,0.000846,0.404952
194,0.231747,0.042101,66.599640,0.231792,0.041378,66.512507,0.000000,0.000855,0.120373
195,0.231747,0.031590,65.261332,0.231792,0.031670,65.280644,0.000000,0.000801,0.226079
196,0.231747,0.040901,63.782043,0.231792,0.041013,63.804359,0.000000,0.001365,0.314922
197,0.231747,0.048209,70.973918,0.231792,0.048034,70.963343,0.000000,0.002571,0.093791
198,0.231747,0.112263,72.337958,0.231792,0.110276,72.230649,0.000000,0.006200,0.258890
199,0.231747,0.042674,63.659823,0.231792,0.042609,63.621106,0.000000,0.000582,0.112641
200,0.231747,0.020658,63.988180,0.231792,0.020624,63.985850,0.000000,0.000493,0.299384
201,0.231747,0.017249,77.750748,0.231792,0.017377,77.780983,0.000000,0.000596,0.264286
202,0.231747,0.011959,67.109640,0.231792,0.011927,67.083066,0.000000,0.000403,0.350660
203,0.231747,0.020177,62.912506,0.231792,0.020270,62.970709,0.000000,0.000425,0.196905
204,0.231747,0.021458,62.531684,0.231792,0.021621,62.592522,0.000000,0.000675,0.255094
205,0.231747,0.084802,69.732784,0.231792,0.086199,69.757194,0.000000,0.002843,0.086278
206,0.231747,0.044966,77.154429,0.231792,0.044583,77.106867,0.000000,0.001563,0.206867
207,0.231747,0.024083,73.284467,0.231792,0.023938,73.334949,0.000000,0.000870,0.218904
208,0.231747,0.042983,77.965718,0.231792,0.037732,78.904417,0.000000,0.006612,1.256627
209,0.231747,0.043928,74.228918,0.231792,0.044264,74.314855,0.000000,0.001217,0.260769
210,0.231747,0.015334,61.657430,0.231792,0.015575,61.832196,0.000000,0.000418,0.315397
211,0.231747,0.017698,67.822786,0.231792,0.017911,67.995351,0.000000,0.000568,0.452316
212,0.231747,0.049110,61.992867,0.231792,0.049171,62.016037,0.000000,0.002326,0.287203
213,0.231747,0.028660,76.117220,0.231792,0.028621,76.101775,0.000000,0.000781,0.223963
214,0.231747,0.057463,77.699334,0.231792,0.057597,77.691990,0.000000,0.001667,0.134008
215,0.231747,0.064331,61.811452,0.231792,0.064926,61.845441,0.000000,0.001816,0.098746
216,0.231747,0.043096,71.326412,0.231792,0.042456,71.303500,0.000000,0.002600,0.115044
217,0.231747,0.073788,67.784316,0.231792,0.072180,67.610539,0.000000,0.008283,0.820355
218,0.231747,0.033407,70.390550,0.231792,0.033333,70.381338,0.000000,0.000767,0.149200
219,0.231747,0.022691,75.853564,0.231792,0.024177,75.469569,0.000000,0.002913,0.808967
220,0.231747,0.042454,72.824687,0.231792,0.042641,72.851484,0.000000,0.000960,0.121253
221,0.231747,0.017768,66.283697,0.231792,0.017712,66.204610,0.000000,0.000569,0.354943
222,0.231747,0.062086,78.102068,0.231792,0.056127,78.371500,0.000000,0.009275,0.590092
223,0.231747,0.016156,67.540207,0.231792,0.016230,67.624663,0.000000,0.000306,0.268271
224,0.231747,0.011401,76.344848,0.231792,0.010761,77.362600,0.000000,0.000992,1.614085
225,0.231747,0.009511,67.893185,0.231792,0.009565,67.933426,0.000000,0.000437,0.430969
226,0.231747,0.045680,63.715330,0.231792,0.045023,63.640283,0.000000,0.001344,0.192384
227,0.231747,0.015792,68.448487,0.231792,0.015938,68.509991,0.000000,0.000605,0.233971
228,0.231747,0.016824,68.537957,0.231792,0.016845,68.540547,0.000000,0.000654,0.214733
229,0.231747,0.018692,63.100579,0.231792,0.018653,63.059836,0.000000,0.000400,0.305098
230,0.231747,0.040561,81.300986,0.231792,0.040340,81.288025,0.000000,0.003941,0.199809
231,0.231747,0.033642,68.659463,0.231792,0.033091,68.614330,0.000000,0.001108,0.150644
232,0.231747,0.052086,70.248508,0.231792,0.051982,70.244761,0.000000,0.001219,0.132883
233,0.231747,0.043166,63.553482,0.231792,0.043518,63.607998,0.000000,0.000891,0.127044
234,0.231747,0.029253,61.829463,0.231792,0.029701,61.956368,0.000000,0.000711,0.201248
235,0.231747,0.019191,60.814462,0.231792,0.019261,60.844809,0.000000,0.000393,0.363117
236,0.231747,0.032288,71.023617,0.231792,0.032585,71.087648,0.000000,0.000821,0.248693
237,0.231747,0.045153,59.884261,0.231792,0.044929,59.825522,0.000000,0.000898,0.154665
238,0.231747,0.035387,74.872943,0.231792,0.034859,74.864233,0.000000,0.002400,0.193934
239,0.231747,0.027576,72.366442,0.231792,0.027279,72.261701,0.000000,0.000588,0.236633
240,0.231747,0.015940,66.347233,0.231792,0.016028,66.359139,0.000000,0.000922,0.361517
241,0.231747,0.023955,58.227142,0.231792,0.024097,58.330060,0.000000,0.000674,0.372662
242,0.231747,0.026195,70.088904,0.231792,0.026171,70.117526,0.000000,0.000538,0.188444
243,0.231747,0.019963,77.332512,0.231792,0.019971,77.349970,0.000000,0.001109,0.218262
244,0.231747,0.017905,69.053136,0.231792,0.017978,69.105834,0.000000,0.000456,0.216421
245,0.231747,0.016601,59.184072,0.231792,0.016461,59.136245,0.000000,0.000306,0.297448
246,0.231747,0.046233,68.373856,0.231792,0.046435,68.400166,0.000000,0.001081,0.116290
247,0.231747,0.013329,67.954622,0.231792,0.013431,68.102271,0.000000,0.000404,0.408343
248,0.231747,0.027761,68.252851,0.231792,0.027892,68.253011,0.000000,0.000810,0.175360
249,0.231747,0.038641,59.831062,0.231792,0.039568,60.092965,0.000000,0.000911,0.219103
250,0.231747,0.040657,60.811907,0.231792,0.040698,60.827563,0.000000,0.000926,0.156162
